code,label,theme,status,reason,start_date,end_date,start_close,end_close,years,total_return,cagr,rows
159837,生物科技,制造,DELETE,年化-13.07%<=-10%,2021-01-27,2025-12-31,0.9850,0.4940,4.93,-0.498477,-0.130739,1195
159883,医疗器械,医药,DELETE,年化-14.55%<=-10%,2021-04-30,2025-12-31,1.0150,0.4870,4.67,-0.520197,-0.145491,1134
159399,现金流,红利质量,INSUFFICIENT,覆盖0.84年<3年,2025-02-27,2025-12-31,0.9630,1.1310,0.84,0.174455,0.210841,209
159516,半导体设备,科技,INSUFFICIENT,覆盖2.14年<3年,2023-11-10,2025-12-31,0.4930,0.7720,2.14,0.565923,0.233025,521
159667,工业母机,制造,INSUFFICIENT,覆盖2.13年<3年,2023-11-13,2025-12-31,0.3170,0.5310,2.13,0.675079,0.273631,520
159928,消费,消费,INSUFFICIENT,覆盖2.14年<3年,2023-11-10,2025-12-31,0.8990,0.7930,2.14,-0.117909,-0.056915,521
510880,红利,红利质量,INSUFFICIENT,覆盖2.14年<3年,2023-11-10,2025-12-31,2.5570,3.0400,2.14,0.188893,0.084169,521
512010,医药,医药,INSUFFICIENT,覆盖2.14年<3年,2023-11-10,2025-12-31,0.4400,0.3780,2.14,-0.140909,-0.068481,521
512070,证券保险,金融,INSUFFICIENT,覆盖2.14年<3年,2023-11-10,2025-12-31,0.6390,0.9240,2.14,0.446009,0.187986,521
512170,医疗,医药,INSUFFICIENT,覆盖2.13年<3年,2023-11-13,2025-12-31,0.4170,0.3400,2.13,-0.184652,-0.091277,520
512200,房地产,地产基建,INSUFFICIENT,覆盖2.13年<3年,2023-11-13,2025-12-31,1.6000,1.4990,2.13,-0.063125,-0.030110,520
512400,有色金属,周期,INSUFFICIENT,覆盖2.14年<3年,2023-11-10,2025-12-31,0.9180,1.9270,2.14,1.099129,0.413889,521
512480,半导体,科技,INSUFFICIENT,覆盖2.14年<3年,2023-11-10,2025-12-31,0.4350,0.7320,2.14,0.682759,0.275171,521
512800,银行,金融,INSUFFICIENT,覆盖2.14年<3年,2023-11-10,2025-12-31,0.5390,0.8230,2.14,0.526902,0.218577,521
513100,纳指,海外,INSUFFICIENT,覆盖2.14年<3年,2023-11-10,2025-12-31,1.1160,1.9040,2.14,0.706093,0.283400,521
513500,标普500,海外,INSUFFICIENT,覆盖2.14年<3年,2023-11-10,2025-12-31,1.4930,2.4320,2.14,0.628935,0.255955,521
515880,通信,科技,INSUFFICIENT,覆盖2.14年<3年,2023-11-10,2025-12-31,0.3490,1.0270,2.14,1.942693,0.655532,521
516160,新能源,新能源,INSUFFICIENT,覆盖2.14年<3年,2023-11-10,2025-12-31,2.2290,2.8590,2.14,0.282638,0.123291,521
516780,稀土,周期,INSUFFICIENT,覆盖2.13年<3年,2023-11-13,2025-12-31,0.4710,0.8820,2.13,0.872611,0.341969,520
560580,电力,新能源,INSUFFICIENT,覆盖2.64年<3年,2023-05-12,2025-12-31,1.0080,1.0530,2.64,0.044643,0.016686,643
159745,建材,地产基建,KEEP,,2021-06-18,2025-12-31,0.9660,0.6510,4.54,-0.326087,-0.083317,1103
159755,电池,新能源,KEEP,,2021-06-24,2025-12-31,1.0250,1.0700,4.52,0.043902,0.009551,1099
159770,机器人,制造,KEEP,,2021-11-08,2025-12-31,1.0070,1.0550,4.15,0.047666,0.011297,1009
159819,人工智能,科技,KEEP,,2020-09-23,2025-12-31,0.9840,1.5320,5.27,0.556911,0.087627,1278
159869,游戏,科技,KEEP,,2021-03-05,2025-12-31,1.0240,1.4400,4.82,0.406250,0.073229,1173
159870,化工,周期,KEEP,,2021-03-03,2025-12-31,0.9880,0.8240,4.83,-0.165992,-0.036886,1175
159930,能源,周期,KEEP,,2020-01-02,2025-12-31,0.7150,1.4630,6.00,1.046154,0.126830,1455
159940,金融地产,金融,KEEP,,2020-01-02,2025-12-31,1.0970,1.2980,6.00,0.183227,0.028458,1455
159992,创新药,医药,KEEP,,2020-04-10,2025-12-31,1.0280,0.8310,5.72,-0.191634,-0.036479,1391
159995,芯片,科技,KEEP,,2020-02-10,2025-12-31,1.0270,1.7320,5.89,0.686465,0.092803,1434
