stage,id,label,horizon,schedule,top_n,gate,factor,weighting,fee_mult,requested_start,actual_start,end,total_return,cagr,max_drawdown,sharpe,avg_exposure,trades,yearly
broad,m36_month_start_top1_no_gate_base_equal,3月50%+6月50%｜月初 Top1｜无闸门｜纯动量｜equal,m36,month_start,1,no_gate,base,equal,1.0,2021-07-10,2021-07-13,2026-07-10,-0.281434224604328,-0.06407267262474825,-0.6812171212724223,0.011288448869831593,0.9867768595041322,77,"{""2021"": -0.390678124488988, ""2022"": -0.3452314802927833, ""2023"": 0.07901451888609112, ""2024"": -0.1701697984403452, ""2025"": 0.9482375554669622, ""2026"": 0.04890732998927172}"
broad,m36_month_start_top1_majority_below_ma100_base_equal,3月50%+6月50%｜月初 Top1｜2/3指数低于MA100空仓｜纯动量｜equal,m36,month_start,1,majority_below_ma100,base,equal,1.0,2021-07-10,2021-07-13,2026-07-10,0.3971713948215323,0.06930531775102233,-0.24533473690852414,0.3944421921042223,0.3413223140495868,37,"{""2021"": -0.13339588178182737, ""2022"": -0.02447176742282131, ""2023"": 0.13405507672306904, ""2024"": -0.16036551973107982, ""2025"": 0.5115015214963614, ""2026"": 0.17087196702132101}"
broad,m36_month_start_top1_majority_below_ma120_base_equal,3月50%+6月50%｜月初 Top1｜2/3指数低于MA120空仓｜纯动量｜equal,m36,month_start,1,majority_below_ma120,base,equal,1.0,2021-07-10,2021-07-13,2026-07-10,0.38189520079825345,0.06695255766942454,-0.30751773297652696,0.38126532642055067,0.3752066115702479,41,"{""2021"": -0.212147452382205, ""2022"": -0.008684952749895558, ""2023"": 0.10129625594427139, ""2024"": -0.14216809320588053, ""2025"": 0.6310077119778441, ""2026"": 0.17087196702132057}"
broad,m36_month_start_top1_majority_below_ma150_base_equal,3月50%+6月50%｜月初 Top1｜2/3指数低于MA150空仓｜纯动量｜equal,m36,month_start,1,majority_below_ma150,base,equal,1.0,2021-07-10,2021-07-13,2026-07-10,0.0008008740753930876,0.00016040901499847493,-0.330431563660187,0.1427939375918834,0.35619834710743803,35,"{""2021"": -0.2082266405234514, ""2022"": 0.0, ""2023"": 0.10055302572149771, ""2024"": -0.11407979183297534, ""2025"": 0.4526740450392839, ""2026"": -0.09003152206316112}"
broad,m36_month_start_top1_majority_below_ma200_base_equal,3月50%+6月50%｜月初 Top1｜2/3指数低于MA200空仓｜纯动量｜equal,m36,month_start,1,majority_below_ma200,base,equal,1.0,2021-07-10,2021-07-13,2026-07-10,0.10751477997634606,0.020670867710435026,-0.4003747663836388,0.21721771351779592,0.3768595041322314,39,"{""2021"": -0.2266775198587626, ""2022"": 0.0, ""2023"": 0.023559966207423066, ""2024"": -0.07874488098453547, ""2025"": 0.6665359879877073, ""2026"": -0.07074627962786673}"
broad,m36_month_start_top2_no_gate_base_equal,3月50%+6月50%｜月初 Top2｜无闸门｜纯动量｜equal,m36,month_start,2,no_gate,base,equal,1.0,2021-07-10,2021-07-13,2026-07-10,0.41749204783311367,0.07240332461344368,-0.594627056567149,0.38567242760484655,0.986262455817635,139,"{""2021"": -0.19211377768196936, ""2022"": -0.3453488951826721, ""2023"": -0.08198486817957373, ""2024"": 0.20615689367791612, ""2025"": 0.5502767722563888, ""2026"": 0.6402205074963694}"
broad,m36_month_start_top2_majority_below_ma100_base_equal,3月50%+6月50%｜月初 Top2｜2/3指数低于MA100空仓｜纯动量｜equal,m36,month_start,2,majority_below_ma100,base,equal,1.0,2021-07-10,2021-07-13,2026-07-10,0.8747358713479543,0.1341887521828542,-0.19517814506790343,0.6876493575247756,0.3413223140495868,74,"{""2021"": -0.004901879375456053, ""2022"": -0.01088941724550141, ""2023"": 0.01152389995089087, ""2024"": -0.032550124286887416, ""2025"": 0.25316506841568054, ""2026"": 0.5881080016608897}"
broad,m36_month_start_top2_majority_below_ma120_base_equal,3月50%+6月50%｜月初 Top2｜2/3指数低于MA120空仓｜纯动量｜equal,m36,month_start,2,majority_below_ma120,base,equal,1.0,2021-07-10,2021-07-13,2026-07-10,1.1270441997652183,0.16324762180646735,-0.19450291519974872,0.7736715038974739,0.37501481513895774,80,"{""2021"": -0.05604408890563228, ""2022"": 0.011994711098413102, ""2023"": 0.0070538740550167844, ""2024"": 0.0020673928448495804, ""2025"": 0.42062840500990584, ""2026"": 0.5881080016608897}"
broad,m36_month_start_top2_majority_below_ma150_base_equal,3月50%+6月50%｜月初 Top2｜2/3指数低于MA150空仓｜纯动量｜equal,m36,month_start,2,majority_below_ma150,base,equal,1.0,2021-07-10,2021-07-13,2026-07-10,0.4437886971310052,0.07636012227987643,-0.24782878714539325,0.4337056567887622,0.35600655067614784,69,"{""2021"": -0.05692026739982359, ""2022"": 0.0, ""2023"": -0.03525890094878126, ""2024"": -0.010597208885087528, ""2025"": 0.2258687377748949, ""2026"": 0.3377992436591597}"
broad,m36_month_start_top2_majority_below_ma200_base_equal,3月50%+6月50%｜月初 Top2｜2/3指数低于MA200空仓｜纯动量｜equal,m36,month_start,2,majority_below_ma200,base,equal,1.0,2021-07-10,2021-07-13,2026-07-10,0.545290440237095,0.09111221092541588,-0.25729540077763,0.49270940677146524,0.3766677077009412,77,"{""2021"": -0.05863871815996313, ""2022"": 0.0, ""2023"": -0.055081135030882966, ""2024"": 0.013677823144460755, ""2025"": 0.33325142125994067, ""2026"": 0.3143495093997497}"
