stage,id,label,horizon,schedule,gate,factor,weighting,fee_mult,requested_start,total_return,cagr,max_drawdown,sharpe,avg_exposure,trades,yearly
coarse,m612_30_70_month_start_1_top2_majority_below_ma100_liq0_trend0_equal,6月30%+12月70%｜月初第1日 Top2｜2/3指数低于MA100空仓｜纯动量｜equal,m612_30_70,month_start_1,majority_below_ma100,liq0_trend0,equal,1.0,2021-07-10,0.7870362693219792,0.12335383644518916,-0.19871283703391196,0.6566396222480386,0.3370121779805996,63,"{""2021"": 0.007804951623372691, ""2022"": 0.08332749851530852, ""2023"": -0.011396088918868341, ""2024"": -0.026735304400436588, ""2025"": 0.11394890520573786, ""2026"": 0.5706465811793517}"
coarse,m612_30_70_month_start_1_top2_majority_below_ma110_liq0_trend0_equal,6月30%+12月70%｜月初第1日 Top2｜2/3指数低于MA110空仓｜纯动量｜equal,m612_30_70,month_start_1,majority_below_ma110,liq0_trend0,equal,1.0,2021-07-10,1.034866240316775,0.15296781288207684,-0.1987974085494768,0.7524371162191271,0.3699423448153597,73,"{""2021"": 0.04028044697307642, ""2022"": 0.08627788847728501, ""2023"": -0.07276072902501873, ""2024"": -0.0267353044004367, ""2025"": 0.30660151697604676, ""2026"": 0.570646581179352}"
coarse,m612_30_70_month_start_1_top2_majority_below_ma120_liq0_trend0_equal,6月30%+12月70%｜月初第1日 Top2｜2/3指数低于MA120空仓｜纯动量｜equal,m612_30_70,month_start_1,majority_below_ma120,liq0_trend0,equal,1.0,2021-07-10,0.9433000927793387,0.14238069306837575,-0.21354751567816255,0.7090256118989937,0.37324812993932666,73,"{""2021"": 0.059363918862817444, ""2022"": 0.0730131834273573, ""2023"": -0.05412071295823129, ""2024"": -0.044964875569787566, ""2025"": 0.23924173158528195, ""2026"": 0.5706465811793517}"
coarse,m612_30_70_month_start_1_top2_majority_below_ma130_liq0_trend0_equal,6月30%+12月70%｜月初第1日 Top2｜2/3指数低于MA130空仓｜纯动量｜equal,m612_30_70,month_start_1,majority_below_ma130,liq0_trend0,equal,1.0,2021-07-10,0.46106223793144796,0.0789279821508293,-0.27236869105814554,0.44862078082138274,0.3649836671294093,70,"{""2021"": 0.059363918862817444, ""2022"": -0.02327407763028444, ""2023"": -0.08817706050416285, ""2024"": -0.04965297278225034, ""2025"": 0.17188305891124678, ""2026"": 0.4301241524866102}"
coarse,m612_30_70_month_start_1_top2_majority_below_ma140_liq0_trend0_equal,6月30%+12月70%｜月初第1日 Top2｜2/3指数低于MA140空仓｜纯动量｜equal,m612_30_70,month_start_1,majority_below_ma140,liq0_trend0,equal,1.0,2021-07-10,0.39554058932527303,0.069055133173332,-0.29256514769506226,0.4072705799455483,0.36663655969139275,70,"{""2021"": 0.06273747431988586, ""2022"": -0.02327407763028455, ""2023"": -0.08817706050416274, ""2024"": -0.049652972782250226, ""2025"": 0.11577651050461646, ""2026"": 0.4301241524866102}"
coarse,m612_30_70_month_start_1_top2_majority_below_ma150_liq0_trend0_equal,6月30%+12月70%｜月初第1日 Top2｜2/3指数低于MA150空仓｜纯动量｜equal,m612_30_70,month_start_1,majority_below_ma150,liq0_trend0,equal,1.0,2021-07-10,0.36803070220876943,0.064799146888177,-0.2757608435574316,0.3908853662132361,0.3558927580385002,66,"{""2021"": 0.06273747431988586, ""2022"": 0.0, ""2023"": -0.08817706050416285, ""2024"": -0.049722417255940954, ""2025"": 0.11577651050461646, ""2026"": 0.3694039092012409}"
coarse,m612_30_70_month_start_2_top2_majority_below_ma100_liq0_trend0_equal,6月30%+12月70%｜月初第2日 Top2｜2/3指数低于MA100空仓｜纯动量｜equal,m612_30_70,month_start_2,majority_below_ma100,liq0_trend0,equal,1.0,2021-07-10,0.8239345771577151,0.1279631598770261,-0.18795410148842628,0.6751884402059446,0.3267498548450709,62,"{""2021"": 0.014316900084402784, ""2022"": 0.09330368706850845, ""2023"": -0.03089939649944473, ""2024"": -0.030754098161430266, ""2025"": 0.24708639975303193, ""2026"": 0.40730552266048536}"
coarse,m612_30_70_month_start_2_top2_majority_below_ma110_liq0_trend0_equal,6月30%+12月70%｜月初第2日 Top2｜2/3指数低于MA110空仓｜纯动量｜equal,m612_30_70,month_start_2,majority_below_ma110,liq0_trend0,equal,1.0,2021-07-10,0.9791479802894401,0.14657208584690906,-0.1975126511956632,0.7323442997796595,0.3523696895558147,68,"{""2021"": 0.04808011877986451, ""2022"": 0.09357934151464953, ""2023"": -0.10819271900564176, ""2024"": -0.030754098161429932, ""2025"": 0.42276475481556597, ""2026"": 0.4073055226604849}"
coarse,m612_30_70_month_start_2_top2_majority_below_ma120_liq0_trend0_equal,6月30%+12月70%｜月初第2日 Top2｜2/3指数低于MA120空仓｜纯动量｜equal,m612_30_70,month_start_2,majority_below_ma120,liq0_trend0,equal,1.0,2021-07-10,0.9550953051838165,0.14376658355327754,-0.18024346011384207,0.71794746637249,0.35567547467978167,74,"{""2021"": 0.06735104056215402, ""2022"": 0.08035034267957175, ""2023"": -0.07571043088075835, ""2024"": -0.02505094601182689, ""2025"": 0.34001810154857104, ""2026"": 0.40730552266048514}"
coarse,m612_30_70_month_start_2_top2_majority_below_ma130_liq0_trend0_equal,6月30%+12月70%｜月初第2日 Top2｜2/3指数低于MA130空仓｜纯动量｜equal,m612_30_70,month_start_2,majority_below_ma130,liq0_trend0,equal,1.0,2021-07-10,0.5018739030878874,0.08489991147444131,-0.2189886822829823,0.47310636108372933,0.3540225821177982,75,"{""2021"": 0.06735104056215402, ""2022"": -0.020572194743457284, ""2023"": -0.08045377336652015, ""2024"": -0.02370033558851259, ""2025"": 0.25561984555705886, ""2026"": 0.2774146019615311}"
