id,label,full_return,full_cagr,full_dd,full_sharpe,full_trades,is_return,is_cagr,is_dd,is_sharpe,oos_return,oos_cagr,oos_dd,oos_sharpe
overseas_vol_false,弱市防御:纳指+标普 (RS612)｜MA200+12月正｜恢复立即切回｜无波动率调节,+395.02%,+37.75%,-25.47%,1.31,109,+69.29%,+23.82%,-12.93%,1.17,+192.41%,+52.83%,-25.47%,1.46
overseas_vol_true_offensive,弱市防御:纳指+标普 (RS612)｜MA200+12月正｜恢复立即切回｜强市波动率自适应,+378.43%,+36.81%,-25.47%,1.35,110,+69.29%,+23.82%,-12.93%,1.17,+182.60%,+50.78%,-25.47%,1.51
overseas_vol_true_defensive,弱市防御:纳指+标普 (RS612)｜MA200+12月正｜恢复立即切回｜弱市波动率自适应,+390.25%,+37.48%,-25.47%,1.31,113,+68.37%,+23.54%,-12.93%,1.16,+191.18%,+52.57%,-25.47%,1.46
overseas_vol_true_both,弱市防御:纳指+标普 (RS612)｜MA200+12月正｜恢复立即切回｜双袖波动率自适应,+373.82%,+36.55%,-25.47%,1.34,114,+68.37%,+23.54%,-12.93%,1.16,+181.42%,+50.53%,-25.47%,1.50
mixed_all_vol_false,弱市防御:混合全防守 (RS612)｜MA200+12月正｜恢复立即切回｜无波动率调节,+330.49%,+33.95%,-25.47%,1.22,137,+58.20%,+20.46%,-12.93%,1.03,+172.12%,+48.54%,-25.47%,1.39
mixed_all_vol_true_offensive,弱市防御:混合全防守 (RS612)｜MA200+12月正｜恢复立即切回｜强市波动率自适应,+315.79%,+33.02%,-25.47%,1.25,141,+58.20%,+20.46%,-12.93%,1.03,+162.82%,+46.52%,-25.47%,1.43
mixed_all_vol_true_defensive,弱市防御:混合全防守 (RS612)｜MA200+12月正｜恢复立即切回｜弱市波动率自适应,+326.74%,+33.72%,-25.47%,1.21,151,+56.27%,+19.86%,-12.93%,1.01,+173.08%,+48.75%,-25.47%,1.39
mixed_all_vol_true_both,弱市防御:混合全防守 (RS612)｜MA200+12月正｜恢复立即切回｜双袖波动率自适应,+312.51%,+32.81%,-25.47%,1.24,153,+56.27%,+19.86%,-12.93%,1.01,+163.97%,+46.77%,-25.47%,1.44
gold_only_vol_false,弱市防御:黄金 (RS612)｜MA200+12月正｜恢复立即切回｜无波动率调节,+300.04%,+32.00%,-25.47%,1.19,122,+51.95%,+18.51%,-11.97%,0.99,+163.27%,+46.62%,-25.47%,1.36
gold_only_vol_true_offensive,弱市防御:黄金 (RS612)｜MA200+12月正｜恢复立即切回｜强市波动率自适应,+286.36%,+31.08%,-25.47%,1.22,123,+51.95%,+18.51%,-11.97%,0.99,+154.27%,+44.61%,-25.47%,1.40
gold_only_vol_true_defensive,弱市防御:黄金 (RS612)｜MA200+12月正｜恢复立即切回｜弱市波动率自适应,+299.65%,+31.97%,-25.47%,1.19,127,+50.03%,+17.89%,-11.97%,0.97,+166.39%,+47.30%,-25.47%,1.38
gold_only_vol_true_both,弱市防御:黄金 (RS612)｜MA200+12月正｜恢复立即切回｜双袖波动率自适应,+285.99%,+31.06%,-25.47%,1.22,128,+50.03%,+17.89%,-11.97%,0.97,+157.28%,+45.29%,-25.47%,1.42
bond_gold_vol_false,弱市防御:短融+国债+黄金 (RS612)｜MA200+12月正｜恢复立即切回｜无波动率调节,+279.15%,+30.59%,-25.47%,1.17,154,+47.55%,+17.10%,-11.69%,0.97,+156.96%,+45.22%,-25.47%,1.35
bond_gold_vol_true_offensive,弱市防御:短融+国债+黄金 (RS612)｜MA200+12月正｜恢复立即切回｜强市波动率自适应,+266.10%,+29.68%,-25.47%,1.20,157,+47.55%,+17.10%,-11.69%,0.97,+148.12%,+43.22%,-25.47%,1.40
bond_gold_vol_true_defensive,弱市防御:短融+国债+黄金 (RS612)｜MA200+12月正｜恢复立即切回｜弱市波动率自适应,+278.59%,+30.55%,-25.47%,1.17,166,+46.49%,+16.76%,-11.73%,0.96,+158.44%,+45.55%,-25.47%,1.36
bond_gold_vol_true_both,弱市防御:短融+国债+黄金 (RS612)｜MA200+12月正｜恢复立即切回｜双袖波动率自适应,+265.88%,+29.66%,-25.47%,1.20,167,+46.49%,+16.76%,-11.73%,0.96,+149.76%,+43.59%,-25.47%,1.41
bond_only_vol_false,弱市防御:短融+国债 (RS612)｜MA200+12月正｜恢复立即切回｜无波动率调节,+252.06%,+28.66%,-25.47%,1.12,153,+42.57%,+15.48%,-11.69%,0.91,+146.94%,+42.95%,-25.47%,1.31
bond_only_vol_true_offensive,弱市防御:短融+国债 (RS612)｜MA200+12月正｜恢复立即切回｜强市波动率自适应,+240.26%,+27.79%,-25.47%,1.15,154,+42.57%,+15.48%,-11.69%,0.91,+138.67%,+41.04%,-25.47%,1.35
bond_only_vol_true_defensive,弱市防御:短融+国债 (RS612)｜MA200+12月正｜恢复立即切回｜弱市波动率自适应,+251.41%,+28.62%,-25.47%,1.12,163,+42.19%,+15.35%,-11.73%,0.90,+147.14%,+43.00%,-25.47%,1.31
bond_only_vol_true_both,弱市防御:短融+国债 (RS612)｜MA200+12月正｜恢复立即切回｜双袖波动率自适应,+239.63%,+27.74%,-25.47%,1.15,164,+42.19%,+15.35%,-11.73%,0.90,+138.86%,+41.08%,-25.47%,1.35
