variant,rule,total_return,cagr,max_drawdown,volatility,sharpe,avg_exposure,trades,trade_days,avg_eligible,cash_rebalance_periods,yearly,reason_counts
RS趋势 月初 Top1,月初；3月/6月RS评分；收盘>MA120且6月收益>0；买入Top1等权,0.8054318178644826,0.2180464283023713,-0.40016954485172584,0.37748710728931617,0.732601187392707,1.0,39,20,16.081267217630852,0,"{'2023': -0.35732451234113494, '2024': 0.027090678536204615, '2025': 0.9510912167084296, '2026': 0.39333656472977196}",{'monthly_rebalance': 39}
RS趋势 月初 Top2,月初；3月/6月RS评分；收盘>MA120且6月收益>0；买入Top2等权,1.4414398787577323,0.3471688802159105,-0.32762158361218796,0.33042106046544617,1.1048438022434661,0.9996746011910275,82,31,16.081267217630852,0,"{'2023': -0.27135268656406253, '2024': 0.3280906638311216, '2025': 0.5547030870062222, '2026': 0.6177045398939545}",{'monthly_rebalance': 82}
RS趋势 月初 Top3,月初；3月/6月RS评分；收盘>MA120且6月收益>0；买入Top3等权,1.4378857139216974,0.3465137959466509,-0.32408413557515736,0.3125252759291168,1.1480197801482404,0.9975175592104564,109,34,16.081267217630852,0,"{'2023': -0.2708840288559071, '2024': 0.14986048472280666, '2025': 0.6218487487467046, '2026': 0.7947838961005671}",{'monthly_rebalance': 109}
RS趋势 周频 Top1,周频；3月/6月RS评分；收盘>MA120且6月收益>0；买入Top1等权,0.7426404957747308,0.20373590664758034,-0.42970720269017904,0.3957263024829986,0.685466872909359,0.9655647382920111,77,42,16.081267217630852,5,"{'2023': -0.35072277315671707, '2024': -0.009802146955459112, '2025': 1.049879291092954, '2026': 0.3165095718119695}",{'monthly_rebalance': 77}
RS趋势 周频 Top2,周频；3月/6月RS评分；收盘>MA120且6月收益>0；买入Top2等权,0.9621385713114168,0.2523699696234467,-0.31460685400754484,0.32886101845158433,0.8770258885765736,0.9637882605754702,214,101,16.081267217630852,5,"{'2023': -0.248370775701507, '2024': 0.25382230110155124, '2025': 0.5943801855684612, '2026': 0.29532038740869493}",{'monthly_rebalance': 214}
RS趋势 周频 Top3,周频；3月/6月RS评分；收盘>MA120且6月收益>0；买入Top3等权,0.7254054688876428,0.19974800518025293,-0.2901777969221703,0.30883895566665714,0.7683589429923788,0.9631489239796566,260,105,16.081267217630852,5,"{'2023': -0.25280245999441764, '2024': 0.12777174362596644, '2025': 0.408679037510993, '2026': 0.45498983404446935}",{'monthly_rebalance': 260}
RS趋势 双周 Top1,双周；3月/6月RS评分；收盘>MA120且6月收益>0；买入Top1等权,0.7485482272323549,0.20509681014991066,-0.45344414780759446,0.37919382270864255,0.7010201108869646,0.9586776859504132,65,36,16.081267217630852,3,"{'2023': -0.3348252364036065, '2024': 0.017022533523980643, '2025': 0.7221356912715702, '2026': 0.4943095295811366}",{'monthly_rebalance': 65}
RS趋势 双周 Top2,双周；3月/6月RS评分；收盘>MA120且6月收益>0；买入Top2等权,0.5900957814348682,0.16747743783712132,-0.3960814535300622,0.3187993102737916,0.6651612971268996,0.9577846704556363,137,56,16.081267217630852,3,"{'2023': -0.2504182900445515, '2024': 0.015868142697959664, '2025': 0.4513575480081333, '2026': 0.4275856575964898}",{'monthly_rebalance': 137}
RS趋势 双周 Top3,双周；3月/6月RS评分；收盘>MA120且6月收益>0；买入Top3等权,0.7991102486046529,0.21662086101401923,-0.3062787697964777,0.3070082559501669,0.8185429671932488,0.9571889408574484,168,59,16.081267217630852,3,"{'2023': -0.251511586314191, '2024': 0.08995521946096496, '2025': 0.47225558619135266, '2026': 0.4978398107176554}",{'monthly_rebalance': 168}
RS趋势 月中 Top1,月中；3月/6月RS评分；收盘>MA120且6月收益>0；买入Top1等权,1.8089963191204745,0.4117449059295324,-0.38782826359311817,0.3625658292189137,1.1711991525345786,0.9738292011019284,37,20,16.081267217630852,1,"{'2023': -0.21028181742495522, '2024': 0.0963307037912362, '2025': 0.6883930844734099, '2026': 0.9107312743532543}",{'monthly_rebalance': 37}
RS趋势 月中 Top2,月中；3月/6月RS评分；收盘>MA120且6月收益>0；买入Top2等权,0.7141700188140749,0.19713399930817554,-0.3639055614758636,0.3081654501548808,0.7619953359072138,0.9722091712085137,81,33,16.081267217630852,1,"{'2023': -0.12427048039335709, '2024': 0.02678296810266856, '2025': 0.20567789230336886, '2026': 0.5758225485206003}",{'monthly_rebalance': 81}
RS趋势 月中 Top3,月中；3月/6月RS评分；收盘>MA120且6月收益>0；买入Top3等权,0.9995434311741187,0.2602907256300744,-0.2903037333313063,0.2962458388305349,0.9612963608078082,0.9720203216380151,110,32,16.081267217630852,1,"{'2023': -0.14656052303846034, '2024': 0.08473925674800364, '2025': 0.3150624493250642, '2026': 0.6164602510051655}",{'monthly_rebalance': 110}
RS趋势 月末 Top1,月末；3月/6月RS评分；收盘>MA120且6月收益>0；买入Top1等权,0.42365256964611975,0.12516565959343762,-0.42123221198624217,0.3852885703527137,0.511160482565287,0.9696969696969697,37,20,16.081267217630852,1,"{'2023': -0.3842443119341745, '2024': 0.09749896008860692, '2025': 0.9155843041614877, '2026': 0.0940560140923763}",{'monthly_rebalance': 37}
RS趋势 月末 Top2,月末；3月/6月RS评分；收盘>MA120且6月收益>0；买入Top2等权,1.2279873745945649,0.3066414155291759,-0.35151658795531493,0.3286900867005048,1.012189116677212,0.9690534738368232,76,29,16.081267217630852,1,"{'2023': -0.30218012851720555, '2024': 0.13467696337563773, '2025': 0.6783726706693705, '2026': 0.6620437890542858}",{'monthly_rebalance': 76}
RS趋势 月末 Top3,月末；3月/6月RS评分；收盘>MA120且6月收益>0；买入Top3等权,1.1878791780986635,0.29874059643032247,-0.3361552246585646,0.3089287964720868,1.035847862061051,0.9685921470598516,101,30,16.081267217630852,1,"{'2023': -0.2889316143840711, '2024': 0.18356713394331203, '2025': 0.6338457845293921, '2026': 0.587722213556348}",{'monthly_rebalance': 101}
