id,base_id,strategy,strategy_label,scenario,scenario_rule,total_return,cagr,max_drawdown,max_dd_start,max_dd_end,volatility,sharpe,avg_exposure,trades,trade_days,month_end_cash_events,month_end_cash_dates,cash_rebalance_periods,start,end,yearly
lowvol_rs_top3_month_start,lowvol_rs_top3,低波RS Top3｜月初,低波RS Top3,月初,每月第一个交易日开盘调仓,2.1806849893845763,0.4944213763353482,-0.23682493824185968,2023-08-28,2023-12-26,0.323038294940904,1.4610818207713807,0.9985341074831907,93,31,0,,0,2023-08-22,2026-07-09,"{'2023': -0.16683826674170033, '2024': 0.2946071284195164, '2025': 0.6257789371719606, '2026': 0.8168248945186918}"
lowvol_rs_top3_month_start_3,lowvol_rs_top3,低波RS Top3｜月初第3日,低波RS Top3,月初第3日,每月第3个交易日开盘调仓,1.6947461962354162,0.41082778126808805,-0.2582605726028684,2024-03-08,2024-09-11,0.3213834619481839,1.2791678164232618,0.9678064492972058,95,31,0,,1,2023-08-22,2026-07-09,"{'2023': -0.08323372874772106, '2024': 0.11714273601514624, '2025': 0.6422849078971715, '2026': 0.5968275967917336}"
lowvol_rs_top3_month_start_cash_end3,lowvol_rs_top3,低波RS Top3｜月初+月末3日空仓,低波RS Top3,月初+月末3日空仓,月初调仓；每月最后3个交易日开盘清仓并保持现金,0.8416558220407728,0.23617305117039766,-0.24866915317685212,2023-09-04,2024-10-15,0.28841778900235177,0.9124246467613862,0.8448275862068965,180,72,36,2023-08-29;2023-09-26;2023-10-27;2023-11-28;2023-12-27;2024-01-29;2024-02-27;2024-03-27;2024-04-26;2024-05-29;2024-06-26;2024-07-29;2024-08-28;2024-09-26;2024-10-29;2024-11-27;2024-12-27;2025-01-23;2025-02-26;2025-03-27;2025-04-28;2025-05-28;2025-06-26;2025-07-29;2025-08-27;2025-09-26;2025-10-29;2025-11-26;2025-12-29;2026-01-28;2026-02-25;2026-03-27;2026-04-28;2026-05-27;2026-06-26;2026-07-07,0,2023-08-22,2026-07-09,"{'2023': -0.1715152116223294, '2024': -0.02283280739896343, '2025': 0.6636116144451436, '2026': 0.38339654872065076}"
lowvol_rs_top3_month_start_3_cash_end3,lowvol_rs_top3,低波RS Top3｜第3日+月末3日空仓,低波RS Top3,第3日+月末3日空仓,每月第3个交易日调仓；每月最后3个交易日开盘清仓并保持现金,1.00348831419964,0.2728555468636582,-0.3146660502642601,2024-02-22,2024-10-16,0.26598618445375183,1.0799855264066953,0.7198275862068966,181,71,35,2023-08-29;2023-09-26;2023-10-27;2023-12-27;2024-01-29;2024-02-27;2024-03-27;2024-04-26;2024-05-29;2024-06-26;2024-07-29;2024-08-28;2024-09-26;2024-10-29;2024-11-27;2024-12-27;2025-01-23;2025-02-26;2025-03-27;2025-04-28;2025-05-28;2025-06-26;2025-07-29;2025-08-27;2025-09-26;2025-10-29;2025-11-26;2025-12-29;2026-01-28;2026-02-25;2026-03-27;2026-04-28;2026-05-27;2026-06-26;2026-07-07,1,2023-08-22,2026-07-09,"{'2023': -0.08953430940836449, '2024': -0.12882516578827596, '2025': 0.7286334445176326, '2026': 0.4612179423968843}"
rs612_top2_month_start,rs612_top2,RS612 Top2｜月初,RS612 Top2,月初,每月第一个交易日开盘调仓,1.8945695796688842,0.4463054808868523,-0.21123610111545,2025-02-26,2025-04-08,0.3245561823034144,1.3503154091280738,0.9696449756507988,52,22,0,,1,2023-08-22,2026-07-09,"{'2023': -0.09256477330474899, '2024': 0.16259205196428006, '2025': 0.5271815781477365, '2026': 0.7831184343148208}"
rs612_top2_month_start_3,rs612_top2,RS612 Top2｜月初第3日,RS612 Top2,月初第3日,每月第3个交易日开盘调仓,2.3106990602363773,0.5153534678936988,-0.1982697204821422,2025-02-26,2025-04-08,0.3324629956862279,1.4719775701502966,0.9683908045977011,52,23,0,,1,2023-08-22,2026-07-09,"{'2023': -0.06510222316655245, '2024': 0.2668472520934999, '2025': 0.5736405385294363, '2026': 0.792082811436098}"
rs612_top2_month_start_cash_end3,rs612_top2,RS612 Top2｜月初+月末3日空仓,RS612 Top2,月初+月末3日空仓,月初调仓；每月最后3个交易日开盘清仓并保持现金,0.7835242179747175,0.2224835435937913,-0.27763870422085724,2024-02-22,2025-04-08,0.29717997327023266,0.854894477971591,0.8189655172413793,122,70,35,2023-08-29;2023-09-26;2023-10-27;2023-11-28;2024-01-29;2024-02-27;2024-03-27;2024-04-26;2024-05-29;2024-06-26;2024-07-29;2024-08-28;2024-09-26;2024-10-29;2024-11-27;2024-12-27;2025-01-23;2025-02-26;2025-03-27;2025-04-28;2025-05-28;2025-06-26;2025-07-29;2025-08-27;2025-09-26;2025-10-29;2025-11-26;2025-12-29;2026-01-28;2026-02-25;2026-03-27;2026-04-28;2026-05-27;2026-06-26;2026-07-07,1,2023-08-22,2026-07-09,"{'2023': -0.14483209839655087, '2024': -0.044716086730429705, '2025': 0.5669650775940411, '2026': 0.40442643017114444}"
rs612_top2_month_start_3_cash_end3,rs612_top2,RS612 Top2｜第3日+月末3日空仓,RS612 Top2,第3日+月末3日空仓,每月第3个交易日调仓；每月最后3个交易日开盘清仓并保持现金,1.4286141174486437,0.36080176758015226,-0.225274553994407,2024-02-22,2024-10-16,0.2813669033905757,1.2837085868422877,0.7198275862068966,124,70,35,2023-08-29;2023-09-26;2023-10-27;2023-11-28;2023-12-27;2024-01-29;2024-02-27;2024-03-27;2024-04-26;2024-05-29;2024-06-26;2024-07-29;2024-09-26;2024-10-29;2024-11-27;2024-12-27;2025-01-23;2025-02-26;2025-03-27;2025-04-28;2025-05-28;2025-06-26;2025-07-29;2025-08-27;2025-09-26;2025-10-29;2025-11-26;2025-12-29;2026-01-28;2026-02-25;2026-03-27;2026-04-28;2026-05-27;2026-06-26;2026-07-07,1,2023-08-22,2026-07-09,"{'2023': -0.14013372324034334, '2024': 0.025632510728785585, '2025': 0.8049051965409857, '2026': 0.5257431349303172}"
core_satellite_50_50_month_start,core_satellite_50_50,核心卫星50/50｜月初,核心卫星50/50,月初,每月第一个交易日开盘调仓,0.7430687781333016,0.21278381741322683,-0.14215420712224536,2023-08-28,2023-12-26,0.19282293171158602,1.141568230780856,0.7051376837344828,88,32,0,,0,2023-08-22,2026-07-09,"{'2023': -0.10552470209295439, '2024': 0.21791026079213904, '2025': 0.2955747029990514, '2026': 0.22032271712074825}"
core_satellite_50_50_month_start_3,core_satellite_50_50,核心卫星50/50｜月初第3日,核心卫星50/50,月初第3日,每月第3个交易日开盘调仓,0.762226461616041,0.2173952403176853,-0.16757310701666617,2024-11-11,2025-04-07,0.19675182807994018,1.1429610284593503,0.7336933863996001,83,32,0,,1,2023-08-22,2026-07-09,"{'2023': -0.04084315380527126, '2024': 0.08329399128017712, '2025': 0.3048710068435836, '2026': 0.27870102597320057}"
core_satellite_50_50_month_start_cash_end3,core_satellite_50_50,核心卫星50/50｜月初+月末3日空仓,核心卫星50/50,月初+月末3日空仓,月初调仓；每月最后3个交易日开盘清仓并保持现金,0.34367824684197745,0.10800976225097814,-0.12317058653662116,2023-08-28,2024-09-11,0.16870811167992011,0.7192997226738027,0.5929040123685597,158,72,36,2023-08-29;2023-09-26;2023-10-27;2023-11-28;2023-12-27;2024-01-29;2024-02-27;2024-03-27;2024-04-26;2024-05-29;2024-06-26;2024-07-29;2024-08-28;2024-09-26;2024-10-29;2024-11-27;2024-12-27;2025-01-23;2025-02-26;2025-03-27;2025-04-28;2025-05-28;2025-06-26;2025-07-29;2025-08-27;2025-09-26;2025-10-29;2025-11-26;2025-12-29;2026-01-28;2026-02-25;2026-03-27;2026-04-28;2026-05-27;2026-06-26;2026-07-07,0,2023-08-22,2026-07-09,"{'2023': -0.10707871435864846, '2024': 0.03495531299009991, '2025': 0.37664012158331284, '2026': 0.04954894579651259}"
