stage,id,label,horizon,schedule,gate,factor,weighting,fee_mult,requested_start,total_return,cagr,max_drawdown,sharpe,avg_exposure,trades,yearly
refined,m612_70_30_month_start_3_top2_majority_below_ma120_liq10_trend0_equal,6月70%+12月30%｜月初第3日 Top2｜2/3指数低于MA120空仓｜流动性10%｜equal,m612_70_30,month_start_3,majority_below_ma120,liq10_trend0,equal,1.0,2021-07-10,1.8412150448701818,0.23271454508572598,-0.16875130933536808,1.0325329328278339,0.34710743801652894,60,"{""2021"": 0.06812639480961713, ""2022"": 0.061367994249649005, ""2023"": -0.02671362446856118, ""2024"": 0.04130301232725753, ""2025"": 0.5533368973565771, ""2026"": 0.6169844331488485}"
refined,m612_70_30_month_start_3_top2_majority_below_ma120_liq10_trend5_equal,6月70%+12月30%｜月初第3日 Top2｜2/3指数低于MA120空仓｜流动性10%+趋势质量5%｜equal,m612_70_30,month_start_3,majority_below_ma120,liq10_trend5,equal,1.0,2021-07-10,1.8412150448701818,0.23271454508572598,-0.16875130933536808,1.0325329328278339,0.34710743801652894,60,"{""2021"": 0.06812639480961713, ""2022"": 0.061367994249649005, ""2023"": -0.02671362446856118, ""2024"": 0.04130301232725753, ""2025"": 0.5533368973565771, ""2026"": 0.6169844331488485}"
refined,m612_70_30_month_start_3_top2_majority_below_ma120_liq10_trend10_equal,6月70%+12月30%｜月初第3日 Top2｜2/3指数低于MA120空仓｜流动性10%+趋势质量10%｜equal,m612_70_30,month_start_3,majority_below_ma120,liq10_trend10,equal,1.0,2021-07-10,1.8412150448701818,0.23271454508572598,-0.16875130933536808,1.0325329328278339,0.34710743801652894,60,"{""2021"": 0.06812639480961713, ""2022"": 0.061367994249649005, ""2023"": -0.02671362446856118, ""2024"": 0.04130301232725753, ""2025"": 0.5533368973565771, ""2026"": 0.6169844331488485}"
refined,m612_70_30_month_start_3_top2_majority_below_ma120_liq15_trend0_equal,6月70%+12月30%｜月初第3日 Top2｜2/3指数低于MA120空仓｜流动性15%｜equal,m612_70_30,month_start_3,majority_below_ma120,liq15_trend0,equal,1.0,2021-07-10,2.095103295988967,0.25403593702130656,-0.1687513093353682,1.096803145293565,0.34710743801652894,60,"{""2021"": 0.06812639480961713, ""2022"": 0.061367994249649005, ""2023"": 0.05712052477460672, ""2024"": 0.04439384984897421, ""2025"": 0.5533368973565767, ""2026"": 0.6169844331488485}"
refined,m612_70_30_month_start_3_top2_majority_below_ma120_liq15_trend5_equal,6月70%+12月30%｜月初第3日 Top2｜2/3指数低于MA120空仓｜流动性15%+趋势质量5%｜equal,m612_70_30,month_start_3,majority_below_ma120,liq15_trend5,equal,1.0,2021-07-10,2.095103295988967,0.25403593702130656,-0.1687513093353682,1.096803145293565,0.34710743801652894,60,"{""2021"": 0.06812639480961713, ""2022"": 0.061367994249649005, ""2023"": 0.05712052477460672, ""2024"": 0.04439384984897421, ""2025"": 0.5533368973565767, ""2026"": 0.6169844331488485}"
refined,m612_70_30_month_start_3_top2_majority_below_ma120_liq15_trend10_equal,6月70%+12月30%｜月初第3日 Top2｜2/3指数低于MA120空仓｜流动性15%+趋势质量10%｜equal,m612_70_30,month_start_3,majority_below_ma120,liq15_trend10,equal,1.0,2021-07-10,2.1242706345835454,0.2563948123722277,-0.1687513093353682,1.1063740969581104,0.3470602956185825,64,"{""2021"": 0.07730807136043816, ""2022"": 0.061367994249649005, ""2023"": 0.05712052477460694, ""2024"": 0.04439384984897421, ""2025"": 0.5533368973565773, ""2026"": 0.6183113183691522}"
refined,m612_70_30_month_start_3_top2_majority_below_ma120_liq20_trend0_equal,6月70%+12月30%｜月初第3日 Top2｜2/3指数低于MA120空仓｜流动性20%｜equal,m612_70_30,month_start_3,majority_below_ma120,liq20_trend0,equal,1.0,2021-07-10,2.110638350899914,0.25529451864289365,-0.16875131625752393,1.1141573028854428,0.34706209189745196,62,"{""2021"": 0.07730807136043816, ""2022"": 0.061367994249649005, ""2023"": 0.05712052477460694, ""2024"": 0.04439384984897421, ""2025"": 0.5478282408544315, ""2026"": 0.6169844331488488}"
refined,m612_70_30_month_start_3_top2_majority_below_ma120_liq20_trend5_equal,6月70%+12月30%｜月初第3日 Top2｜2/3指数低于MA120空仓｜流动性20%+趋势质量5%｜equal,m612_70_30,month_start_3,majority_below_ma120,liq20_trend5,equal,1.0,2021-07-10,2.110638350899914,0.25529451864289365,-0.16875131625752393,1.1141573028854428,0.34706209189745196,62,"{""2021"": 0.07730807136043816, ""2022"": 0.061367994249649005, ""2023"": 0.05712052477460694, ""2024"": 0.04439384984897421, ""2025"": 0.5478282408544315, ""2026"": 0.6169844331488488}"
refined,m612_70_30_month_start_3_top2_majority_below_ma120_liq20_trend10_equal,6月70%+12月30%｜月初第3日 Top2｜2/3指数低于MA120空仓｜流动性20%+趋势质量10%｜equal,m612_70_30,month_start_3,majority_below_ma120,liq20_trend10,equal,1.0,2021-07-10,1.7792960972255645,0.2272845040237541,-0.15464180556917417,1.0097052050300244,0.3469117491043005,66,"{""2021"": -0.03807283103416892, ""2022"": 0.06136799424964923, ""2023"": 0.05712052477460672, ""2024"": 0.04439384984897421, ""2025"": 0.5480028206418364, ""2026"": 0.6178770597685443}"
refined,m612_70_30_month_start_3_top2_majority_below_ma120_liq25_trend0_equal,6月70%+12月30%｜月初第3日 Top2｜2/3指数低于MA120空仓｜流动性25%｜equal,m612_70_30,month_start_3,majority_below_ma120,liq25_trend0,equal,1.0,2021-07-10,1.7051475347372014,0.22065319181836673,-0.15462840231013253,0.9982558312923238,0.3469135468665855,67,"{""2021"": -0.03807283103416892, ""2022"": 0.06136799424964923, ""2023"": 0.05712052477460672, ""2024"": 0.04439384984897421, ""2025"": 0.5423719876780959, ""2026"": 0.5804627850837938}"
