strategy_id,strategy,variant_id,variant,scenario_id,scenario,total_return,cagr,max_drawdown,max_dd_start,max_dd_end,volatility,sharpe,avg_exposure,trades,trade_days,risk_clear_events,risk_reduce_events,risk_clear_dates,risk_reduce_dates,start,end,yearly
lowvol_rs_month_top3,低波RS月频Top3,lowvol_rs_month_top3_base,低波RS月频Top3｜无闸门,base,无闸门,2.2044830682310814,0.49829405303670815,-0.23587204675677098,2023-08-28,2023-12-26,0.32305952165425167,1.4693853695374999,0.9985247614629099,93,31,0,0,,,2023-08-22,2026-07-09,"{'2023': -0.16579799071447432, '2024': 0.2971214473816064, '2025': 0.6295826825584709, '2026': 0.8188419770175697}"
lowvol_rs_month_top3,低波RS月频Top3,lowvol_rs_month_top3_clear12,低波RS月频Top3｜12%清仓,clear12,12%清仓,1.427328320554306,0.3605515843057847,-0.2899991012113252,2024-11-07,2025-05-09,0.3096969731348711,1.1934908768634322,0.8946860895093453,108,38,7,0,2023-12-05;2024-07-26;2024-11-26;2025-01-06;2025-04-08;2025-11-24;2026-03-20,,2023-08-22,2026-07-09,"{'2023': -0.1454959272230828, '2024': 0.2245899737461292, '2025': 0.30178200583845594, '2026': 0.7862141618543408}"
lowvol_rs_month_top3,低波RS月频Top3,lowvol_rs_month_top3_reduce10,低波RS月频Top3｜10%降半仓,reduce10,10%降半仓,1.0867261989385475,0.29097274800302153,-0.20379181224020648,2023-08-28,2023-12-26,0.2786106578561542,1.0973989788471026,0.8979018885741283,130,43,0,12,,2023-10-24;2023-12-05;2024-07-22;2024-09-10;2024-11-19;2025-01-03;2025-04-01;2025-10-20;2025-11-24;2026-03-18;2026-06-02;2026-07-03,2023-08-22,2026-07-09,"{'2023': -0.16109687357993263, '2024': 0.11262226306534928, '2025': 0.5509928406780276, '2026': 0.44370014226745624}"
lowvol_rs_month_top3,低波RS月频Top3,lowvol_rs_month_top3_reduce12,低波RS月频Top3｜12%降半仓,reduce12,12%降半仓,1.7938718954856845,0.4286341481724596,-0.239164621828568,2024-11-07,2025-04-08,0.3128656068564983,1.3477910013101917,0.947409505945457,117,38,0,7,,2023-12-05;2024-07-26;2024-11-26;2025-01-06;2025-04-08;2025-11-24;2026-03-20,2023-08-22,2026-07-09,"{'2023': -0.15564695896877845, '2024': 0.26071472661326855, '2025': 0.4593929349017405, '2026': 0.8012509266196981}"
lowvol_rs_month_top3,低波RS月频Top3,lowvol_rs_month_top3_reduce15,低波RS月频Top3｜15%降半仓,reduce15,15%降半仓,1.8650657069821404,0.4411700111543373,-0.2217643694470517,2025-02-26,2025-04-08,0.3141369801844319,1.37270869069685,0.9407967897337348,113,37,0,6,,2023-12-05;2024-08-06;2025-01-03;2025-04-08;2025-11-25;2026-03-24,2023-08-22,2026-07-09,"{'2023': -0.15564695896877845, '2024': 0.30832590180211183, '2025': 0.4702402281225815, '2026': 0.7667476617325042}"
rs612_month_top2,RS612月频Top2,rs612_month_top2_base,RS612月频Top2｜无闸门,base,无闸门,1.9104176789974603,0.4490499176443119,-0.21085261990998627,2025-02-26,2025-04-08,0.32456244823921704,1.3564046651559443,0.9696449678616171,52,22,0,0,,,2023-08-22,2026-07-09,"{'2023': -0.09165644882335588, '2024': 0.16434017095117026, '2025': 0.5302600883810753, '2026': 0.7843543830010387}"
rs612_month_top2,RS612月频Top2,rs612_month_top2_clear12,RS612月频Top2｜12%清仓,clear12,12%清仓,0.9886397835774328,0.2695722973170931,-0.25238789107444415,2024-11-11,2025-05-15,0.3025730394876192,0.9755162246382438,0.860632183908046,69,34,8,0,2023-09-18;2024-07-26;2024-11-26;2025-04-08;2025-09-05;2025-11-17;2026-03-18;2026-07-06,,2023-08-22,2026-07-09,"{'2023': -0.11987454701840095, '2024': 0.0989808216710597, '2025': 0.23884290700783106, '2026': 0.6467305842659543}"
rs612_month_top2,RS612月频Top2,rs612_month_top2_reduce10,RS612月频Top2｜10%降半仓,reduce10,10%降半仓,0.9628663767159844,0.2638351749303023,-0.2656120934164832,2024-04-19,2025-04-08,0.29749250333771043,0.9713837214894994,0.8801585002719868,84,39,0,13,,2023-09-14;2024-07-24;2024-09-12;2024-10-16;2024-11-25;2025-03-26;2025-04-08;2025-09-05;2025-10-20;2025-11-24;2026-02-03;2026-03-18;2026-07-03,2023-08-22,2026-07-09,"{'2023': -0.09763730213696986, '2024': -0.011533950633313417, '2025': 0.32681875926590487, '2026': 0.6457132992988648}"
rs612_month_top2,RS612月频Top2,rs612_month_top2_reduce12,RS612月频Top2｜12%降半仓,reduce12,12%降半仓,1.4140737336699476,0.3579675226305963,-0.20587425308985707,2024-04-19,2024-09-11,0.30798935443823866,1.1922130573133884,0.9160701339506654,74,34,0,8,,2023-09-18;2024-07-26;2024-11-26;2025-04-08;2025-09-05;2025-11-17;2026-03-18;2026-07-06,2023-08-22,2026-07-09,"{'2023': -0.10576549792087842, '2024': 0.13150631395695522, '2025': 0.3803066645540196, '2026': 0.7150803356002111}"
rs612_month_top2,RS612月频Top2,rs612_month_top2_reduce15,RS612月频Top2｜15%降半仓,reduce15,15%降半仓,1.5502796823596832,0.3840940044929235,-0.22118661908615966,2024-04-19,2024-09-11,0.3202279974192795,1.2206533180791526,0.9368313039545662,64,29,0,4,,2024-08-06;2025-04-08;2025-11-24;2026-03-24,2023-08-22,2026-07-09,"{'2023': -0.09165644882335588, '2024': 0.14015986907961842, '2025': 0.4138279986133002, '2026': 0.7282074259658367}"
core_satellite_50_50,核心卫星50/50,core_satellite_50_50_base,核心卫星50/50｜无闸门,base,无闸门,0.7532750578284106,0.2152446534328547,-0.1416327041892902,2023-08-28,2023-12-26,0.19284139379457874,1.15246194088314,0.705130853869141,88,32,0,0,,,2023-08-22,2026-07-09,"{'2023': -0.10497986427473704, '2024': 0.21899705373680045, '2025': 0.298412607139676, '2026': 0.22233556443869396}"
core_satellite_50_50,核心卫星50/50,core_satellite_50_50_clear12,核心卫星50/50｜12%清仓,clear12,12%清仓,0.56619631467357,0.16855668678574243,-0.151462485019904,2025-02-26,2025-05-12,0.19001050148214058,0.9513045698881109,0.6757486410242577,90,35,3,0,2023-12-12;2025-04-09;2026-03-24,,2023-08-22,2026-07-09,"{'2023': -0.1112262938096148, '2024': 0.21896748174971692, '2025': 0.20712918347470577, '2026': 0.183735343239952}"
core_satellite_50_50,核心卫星50/50,core_satellite_50_50_reduce10,核心卫星50/50｜10%降半仓,reduce10,10%降半仓,0.6682858192996706,0.19445934747664007,-0.1279917597959086,2025-02-26,2025-04-08,0.18881866067326483,1.0774606668871511,0.6834693128312836,99,36,0,4,,2023-12-05;2025-04-08;2025-11-24;2026-03-20,2023-08-22,2026-07-09,"{'2023': -0.09978274378825658, '2024': 0.2189821884564016, '2025': 0.23294915525191073, '2026': 0.2182987035295223}"
core_satellite_50_50,核心卫星50/50,core_satellite_50_50_reduce12,核心卫星50/50｜12%降半仓,reduce12,12%降半仓,0.6584726759127051,0.19201524574998352,-0.1368526836294156,2026-01-28,2026-03-23,0.19057308078659974,1.0580576010642688,0.6906321209053267,94,35,0,3,,2023-12-12;2025-04-09;2026-03-24,2023-08-22,2026-07-09,"{'2023': -0.10810307904217598, '2024': 0.2189823255958756, '2025': 0.25277089530719077, '2026': 0.2030701802983199}"
core_satellite_50_50,核心卫星50/50,core_satellite_50_50_reduce15,核心卫星50/50｜15%降半仓,reduce15,15%降半仓,0.7532750578284106,0.2152446534328547,-0.1416327041892902,2023-08-28,2023-12-26,0.19284139379457874,1.15246194088314,0.705130853869141,88,32,0,0,,,2023-08-22,2026-07-09,"{'2023': -0.10497986427473704, '2024': 0.21899705373680045, '2025': 0.298412607139676, '2026': 0.22233556443869396}"
rs36_month_top3_market,RS36月频Top3+市场过滤,rs36_month_top3_market_base,RS36月频Top3+市场过滤｜无闸门,base,无闸门,1.0307095881103372,0.2788335934244124,-0.17218415434190215,2024-11-07,2025-01-06,0.26331999970535525,1.1070617138942975,0.46320075139241407,57,19,0,0,,,2023-08-22,2026-07-09,"{'2023': 0.0, '2024': -0.03645379459165221, '2025': 0.33774567470411765, '2026': 0.6161040279209107}"
rs36_month_top3_market,RS36月频Top3+市场过滤,rs36_month_top3_market_clear12,RS36月频Top3+市场过滤｜12%清仓,clear12,12%清仓,0.6877190390992327,0.1992719093538473,-0.20976441609911178,2024-11-07,2025-01-06,0.2537552090570172,0.8745170997557793,0.41616501722555665,64,22,4,0,2024-11-26;2025-01-06;2025-11-24;2026-03-20,,2023-08-22,2026-07-09,"{'2023': 0.0, '2024': -0.0825836212670572, '2025': 0.18785788039792428, '2026': 0.588377339294166}"
rs36_month_top3_market,RS36月频Top3+市场过滤,rs36_month_top3_market_reduce10,RS36月频Top3+市场过滤｜10%降半仓,reduce10,10%降半仓,0.4414504895816336,0.13536264718475222,-0.16804228064068594,2024-11-07,2025-01-06,0.22733061943847854,0.697394774151887,0.4015988053554011,90,28,0,9,,2024-10-16;2024-11-19;2025-01-03;2025-03-31;2025-10-20;2025-11-24;2026-03-18;2026-06-02;2026-07-03,2023-08-22,2026-07-09,"{'2023': 0.0, '2024': -0.07864865002147103, '2025': 0.2502097420398619, '2026': 0.28344172940445755}"
rs36_month_top3_market,RS36月频Top3+市场过滤,rs36_month_top3_market_reduce12,RS36月频Top3+市场过滤｜12%降半仓,reduce12,12%降半仓,0.8520646835957331,0.23859435386246886,-0.19104349514672714,2024-11-07,2025-01-06,0.2562046438394195,1.0002111634521216,0.4400196512889365,72,23,0,4,,2024-11-26;2025-01-06;2025-11-24;2026-03-20,2023-08-22,2026-07-09,"{'2023': 0.0, '2024': -0.059658050867028356, '2025': 0.2615084114962247, '2026': 0.6012706562981518}"
rs36_month_top3_market,RS36月频Top3+市场过滤,rs36_month_top3_market_reduce15,RS36月频Top3+市场过滤｜15%降半仓,reduce15,15%降半仓,0.8789358749330818,0.24480431869527663,-0.16361231034480717,2026-03-02,2026-03-23,0.25805220029659376,1.0151660753883385,0.4435419397718424,67,22,0,3,,2025-01-03;2025-11-24;2026-03-24,2023-08-22,2026-07-09,"{'2023': 0.0, '2024': -0.03645379459165221, '2025': 0.2733602918067508, '2026': 0.5705861776550398}"
