stage,id,label,horizon,schedule,gate,factor,weighting,fee_mult,requested_start,total_return,cagr,max_drawdown,sharpe,avg_exposure,trades,yearly
stress,m612_70_30_month_start_3_top2_majority_below_ma120_liq15_trend10_equal,6月70%+12月30%｜月初第3日 Top2｜2/3指数低于MA120空仓｜流动性15%+趋势质量10%｜equal,m612_70_30,month_start_3,majority_below_ma120,liq15_trend10,equal,1.0,2021-07-10,2.1242706345835454,0.2563948123722277,-0.1687513093353682,1.1063740969581104,0.3470602956185825,64,"{""2021"": 0.07730807136043816, ""2022"": 0.061367994249649005, ""2023"": 0.05712052477460694, ""2024"": 0.04439384984897421, ""2025"": 0.5533368973565773, ""2026"": 0.6183113183691522}"
stress,m612_70_30_month_start_3_top2_majority_below_ma120_liq15_trend10_equal,6月70%+12月30%｜月初第3日 Top2｜2/3指数低于MA120空仓｜流动性15%+趋势质量10%｜equal,m612_70_30,month_start_3,majority_below_ma120,liq15_trend10,equal,2.0,2021-07-10,2.036378392359483,0.24923218534731584,-0.16963900529345355,1.0814274405985327,0.3470752910929935,64,"{""2021"": 0.07506190195622753, ""2022"": 0.05691958542796649, ""2023"": 0.05268991796013056, ""2024"": 0.0367473913689258, ""2025"": 0.5435872106859567, ""2026"": 0.6112133497098189}"
stress,m612_70_30_month_start_3_top2_majority_below_ma120_liq15_trend10_equal,6月70%+12月30%｜月初第3日 Top2｜2/3指数低于MA120空仓｜流动性15%+趋势质量10%｜equal,m612_70_30,month_start_3,majority_below_ma120,liq15_trend10,equal,1.0,2022-01-04,1.900071685751111,0.2663300932245751,-0.16875130933536808,1.146765218799776,0.349814859434586,58,"{""2022"": 0.061367994249649005, ""2023"": 0.05712052477460672, ""2024"": 0.04439384984897443, ""2025"": 0.5533368973565771, ""2026"": 0.6183113183691515}"
stress,m612_70_30_month_start_3_top2_majority_below_ma120_liq15_trend10_equal,6月70%+12月30%｜月初第3日 Top2｜2/3指数低于MA120空仓｜流动性15%+趋势质量10%｜equal,m612_70_30,month_start_3,majority_below_ma120,liq15_trend10,equal,2.0,2022-01-04,1.8243754027878434,0.25892438063752565,-0.16963900529345355,1.1209574167589498,0.34981535672509206,58,"{""2022"": 0.05691958542796649, ""2023"": 0.05268991796013056, ""2024"": 0.03674739136892602, ""2025"": 0.5435872106859572, ""2026"": 0.6112133497098191}"
stress,m612_70_30_month_start_3_top2_majority_below_ma120_liq15_trend10_equal,6月70%+12月30%｜月初第3日 Top2｜2/3指数低于MA120空仓｜流动性15%+趋势质量10%｜equal,m612_70_30,month_start_3,majority_below_ma120,liq15_trend10,equal,1.0,2023-01-03,1.732390369281262,0.33130290818893493,-0.1687513093353683,1.2487601635726584,0.41999744294419755,50,"{""2023"": 0.05712052477460672, ""2024"": 0.044393849848974654, ""2025"": 0.5533368973565769, ""2026"": 0.618311318369152}"
stress,m612_70_30_month_start_3_top2_majority_below_ma120_liq15_trend10_equal,6月70%+12月30%｜月初第3日 Top2｜2/3指数低于MA120空仓｜流动性15%+趋势质量10%｜equal,m612_70_30,month_start_3,majority_below_ma120,liq15_trend10,equal,2.0,2023-01-03,1.6722708536470168,0.3228974627807306,-0.16963900529345355,1.2237418035943346,0.4199980818162359,50,"{""2023"": 0.05268991796013056, ""2024"": 0.0367473913689258, ""2025"": 0.5435872106859574, ""2026"": 0.6112133497098196}"
stress,m612_70_30_month_start_3_top2_majority_below_ma120_liq15_trend10_inverse_vol,6月70%+12月30%｜月初第3日 Top2｜2/3指数低于MA120空仓｜流动性15%+趋势质量10%｜inverse_vol,m612_70_30,month_start_3,majority_below_ma120,liq15_trend10,inverse_vol,1.0,2021-07-10,2.1140025199551262,0.2555664064715504,-0.1673331036802349,1.1096247617206958,0.3470296316299051,66,"{""2021"": 0.08422642059786134, ""2022"": 0.057644689777054836, ""2023"": 0.054325422402274226, ""2024"": 0.03784847025549687, ""2025"": 0.5338469702498168, ""2026"": 0.6425436640200561}"
stress,m612_70_30_month_start_3_top2_majority_below_ma120_liq15_trend10_inverse_vol,6月70%+12月30%｜月初第3日 Top2｜2/3指数低于MA120空仓｜流动性15%+趋势质量10%｜inverse_vol,m612_70_30,month_start_3,majority_below_ma120,liq15_trend10,inverse_vol,2.0,2021-07-10,2.0236732249706293,0.24818312854298274,-0.16833109511458177,1.0837145070995804,0.3470456409009354,66,"{""2021"": 0.08190110201867284, ""2022"": 0.05321188608059879, ""2023"": 0.049906530429509655, ""2024"": 0.03024993332660042, ""2025"": 0.5235188269702957, ""2026"": 0.6347156398136582}"
stress,m612_70_30_month_start_3_top2_majority_below_ma120_liq15_trend10_inverse_vol,6月70%+12月30%｜月初第3日 Top2｜2/3指数低于MA120空仓｜流动性15%+趋势质量10%｜inverse_vol,m612_70_30,month_start_3,majority_below_ma120,liq15_trend10,inverse_vol,1.0,2022-01-04,1.8720961422781173,0.2636108389328893,-0.1673331036802349,1.1442235602682937,0.3498079468952928,60,"{""2022"": 0.05764468977705506, ""2023"": 0.05432542240227445, ""2024"": 0.03784847025549687, ""2025"": 0.5338469702498168, ""2026"": 0.6425436640200564}"
stress,m612_70_30_month_start_3_top2_majority_below_ma120_liq15_trend10_inverse_vol,6月70%+12月30%｜月初第3日 Top2｜2/3指数低于MA120空仓｜流动性15%+趋势质量10%｜inverse_vol,m612_70_30,month_start_3,majority_below_ma120,liq15_trend10,inverse_vol,2.0,2022-01-04,1.7947778399789835,0.25598667586197,-0.16833109511458189,1.1173988648061997,0.3498085903586407,60,"{""2022"": 0.05321188608059879, ""2023"": 0.04990653042950988, ""2024"": 0.030249933326600642, ""2025"": 0.5235188269702951, ""2026"": 0.6347156398136582}"
