id,label,selected_by_train,offensive_scheme,offensive_top_n,fast_crash_5d,defensive_pool,defensive_filter,defensive_top_n,fee_mult,full_return,full_cagr,full_max_drawdown,full_sharpe,train_return,train_cagr,train_max_drawdown,oos_return,oos_cagr,oos_max_drawdown,oos_sharpe,trades
top2_equal_fastoff_overseas_ma120_ret6_deftop1,进攻top2_equal｜无紧急闸门｜弱市纳指+标普 Top1｜MA120+6月正,False,top2_equal,2,0.0,overseas,ma120_ret6,1,1.0,3.3607146358617674,0.3429793011679434,-0.23427042470162707,1.2035168173312227,0.45435738191992536,0.1641725928369402,-0.23427042470162707,1.9983790023502364,0.5435102877136593,-0.20980381261366787,1.4874687163377405,118
top2_equal_fastoff_overseas_ma120_ret6_deftop2,进攻top2_equal｜无紧急闸门｜弱市纳指+标普 Top2｜MA120+6月正,False,top2_equal,2,0.0,overseas,ma120_ret6,2,1.0,3.4467876875396612,0.3482460567396901,-0.22330247845901585,1.2232609080795875,0.4653500665845245,0.1677356707815325,-0.22330247845901585,2.034624823749009,0.5508591340841213,-0.20980381261366798,1.4995937071204375,108
top2_equal_fastoff_overseas_ma200_ret12_deftop1,进攻top2_equal｜无紧急闸门｜弱市纳指+标普 Top1｜MA200+12月正,True,top2_equal,2,0.0,overseas,ma200_ret12,1,1.0,4.267772340805841,0.39477268136583277,-0.20980381261366787,1.3438902125179368,0.6622548696535093,0.22904121905607866,-0.14818862238322472,2.169052133325312,0.5776602451067165,-0.20980381261366787,1.5509133430877935,118
top2_equal_fastoff_overseas_ma200_ret12_deftop2,进攻top2_equal｜无紧急闸门｜弱市纳指+标普 Top2｜MA200+12月正,True,top2_equal,2,0.0,overseas,ma200_ret12,2,1.0,4.428641331353221,0.4031997085599841,-0.20980381261366798,1.3736057708427296,0.6922126768129415,0.23798285892662396,-0.12932804270232467,2.2080136295736468,0.5852991510174257,-0.20980381261366798,1.5632381081563989,104
top2_equal_fastoff_overseas_gold_ma120_ret6_deftop1,进攻top2_equal｜无紧急闸门｜弱市纳指+标普+黄金 Top1｜MA120+6月正,False,top2_equal,2,0.0,overseas_gold,ma120_ret6,1,1.0,2.735234620993575,0.30198138239779304,-0.20980381261366787,1.090880742732457,0.4110755628772411,0.14998581896830943,-0.1665796719587701,1.6470833449750049,0.4693211976228764,-0.20980381261366787,1.338581057744039,134
top2_equal_fastoff_overseas_gold_ma120_ret6_deftop2,进攻top2_equal｜无紧急闸门｜弱市纳指+标普+黄金 Top2｜MA120+6月正,False,top2_equal,2,0.0,overseas_gold,ma120_ret6,2,1.0,2.8845778017450106,0.3122426899451496,-0.20980381261366798,1.1257544975270954,0.39807105149990507,0.14567284087030474,-0.19000612783662096,1.778526740524013,0.49774005822640155,-0.20980381261366798,1.396917704964726,131
top2_equal_fastoff_overseas_gold_ma200_ret12_deftop1,进攻top2_equal｜无紧急闸门｜弱市纳指+标普+黄金 Top1｜MA200+12月正,False,top2_equal,2,0.0,overseas_gold,ma200_ret12,1,1.0,3.0891809804621824,0.32580045446108397,-0.20980381261366776,1.1560478609534128,0.5447873933492622,0.1930241109445192,-0.14818862238322472,1.6470833449750044,0.4693211976228764,-0.20980381261366776,1.3385810577440385,136
top2_equal_fastoff_overseas_gold_ma200_ret12_deftop2,进攻top2_equal｜无紧急闸门｜弱市纳指+标普+黄金 Top2｜MA200+12月正,True,top2_equal,2,0.0,overseas_gold,ma200_ret12,2,1.0,3.644958155349342,0.3600689084101958,-0.20980381261366787,1.2564051054600687,0.6094180355997625,0.21303439126066692,-0.12932804270232467,1.886110415444898,0.5204009040250988,-0.20980381261366787,1.4421789495602644,132
top2_equal_fastm5_overseas_ma120_ret6_deftop1,进攻top2_equal｜2/4指数5日<= -5%｜弱市纳指+标普 Top1｜MA120+6月正,False,top2_equal,2,-0.05,overseas,ma120_ret6,1,1.0,1.6548559109522745,0.2159418507137214,-0.3118388120015856,0.9141933201275029,0.427485466099895,0.15539463421192967,-0.23427042470162707,0.8598129185901557,0.27796540876149467,-0.3118388120015856,0.9906630846056661,173
top2_equal_fastm5_overseas_ma120_ret6_deftop2,进攻top2_equal｜2/4指数5日<= -5%｜弱市纳指+标普 Top2｜MA120+6月正,False,top2_equal,2,-0.05,overseas,ma120_ret6,2,1.0,1.7149100635528622,0.22140052266623456,-0.3013299324842109,0.9382134648079523,0.4255313836291903,0.15475249976900973,-0.22330247845901585,0.9044898588210004,0.2900137101262865,-0.3013299324842109,1.0221191743393796,179
top2_equal_fastm5_overseas_ma200_ret12_deftop1,进攻top2_equal｜2/4指数5日<= -5%｜弱市纳指+标普 Top1｜MA200+12月正,False,top2_equal,2,-0.05,overseas,ma200_ret12,1,1.0,2.1062471201792454,0.2547830413648904,-0.3118388120015849,1.0429318486917531,0.6002438052717041,0.21022340526404482,-0.14818862238322472,0.9411086672832571,0.2997620746573175,-0.3118388120015849,1.0439758532960228,173
top2_equal_fastm5_overseas_ma200_ret12_deftop2,进攻top2_equal｜2/4指数5日<= -5%｜弱市纳指+标普 Top2｜MA200+12月正,True,top2_equal,2,-0.05,overseas,ma200_ret12,2,1.0,2.2237262253091674,0.26414545553861046,-0.3013299324842108,1.081665413675818,0.6290840247841296,0.21902813995071968,-0.12932804270232467,0.9788581658557143,0.30969572005784696,-0.3013299324842108,1.0696231737847768,174
top2_equal_fastm5_overseas_gold_ma120_ret6_deftop1,进攻top2_equal｜2/4指数5日<= -5%｜弱市纳指+标普+黄金 Top1｜MA120+6月正,False,top2_equal,2,-0.05,overseas_gold,ma120_ret6,1,1.0,1.1202055109398006,0.16240136875140587,-0.360921179667252,0.727883142643167,0.3627054310916533,0.13382180886679618,-0.1665796719587701,0.5558795485546126,0.1909310158454558,-0.360921179667252,0.7441363544642075,191
