id,label,schedule,ma_days,weak_ratio,total_return,cagr,max_drawdown,sharpe,trades
month_start_3_ma120_wr40,V2 邻域: 调仓=月初第3天｜MA=120天｜弱市比=0.40,month_start_3,120,0.4,+442.86%,+40.32%,-20.98%,1.37,104
month_start_3_ma120_wr50,V2 邻域: 调仓=月初第3天｜MA=120天｜弱市比=0.50,month_start_3,120,0.5,+442.86%,+40.32%,-20.98%,1.37,104
month_start_4_ma120_wr40,V2 邻域: 调仓=月初第4天｜MA=120天｜弱市比=0.40,month_start_4,120,0.4,+427.94%,+39.54%,-19.81%,1.37,108
month_start_4_ma120_wr50,V2 邻域: 调仓=月初第4天｜MA=120天｜弱市比=0.50,month_start_4,120,0.5,+427.94%,+39.54%,-19.81%,1.37,108
month_start_4_ma110_wr40,V2 邻域: 调仓=月初第4天｜MA=110天｜弱市比=0.40,month_start_4,110,0.4,+360.21%,+35.75%,-19.82%,1.27,119
month_start_4_ma110_wr50,V2 邻域: 调仓=月初第4天｜MA=110天｜弱市比=0.50,month_start_4,110,0.5,+360.21%,+35.75%,-19.82%,1.27,119
month_start_2_ma120_wr40,V2 邻域: 调仓=月初第2天｜MA=120天｜弱市比=0.40,month_start_2,120,0.4,+354.70%,+35.43%,-19.77%,1.27,102
month_start_2_ma120_wr50,V2 邻域: 调仓=月初第2天｜MA=120天｜弱市比=0.50,month_start_2,120,0.5,+354.70%,+35.43%,-19.77%,1.27,102
month_start_3_ma130_wr40,V2 邻域: 调仓=月初第3天｜MA=130天｜弱市比=0.40,month_start_3,130,0.4,+318.89%,+33.22%,-21.75%,1.18,93
month_start_3_ma130_wr50,V2 邻域: 调仓=月初第3天｜MA=130天｜弱市比=0.50,month_start_3,130,0.5,+318.89%,+33.22%,-21.75%,1.18,93
month_start_3_ma110_wr40,V2 邻域: 调仓=月初第3天｜MA=110天｜弱市比=0.40,month_start_3,110,0.4,+312.56%,+32.82%,-20.98%,1.18,114
month_start_3_ma110_wr50,V2 邻域: 调仓=月初第3天｜MA=110天｜弱市比=0.50,month_start_3,110,0.5,+312.56%,+32.82%,-20.98%,1.18,114
month_start_4_ma130_wr40,V2 邻域: 调仓=月初第4天｜MA=130天｜弱市比=0.40,month_start_4,130,0.4,+311.41%,+32.74%,-19.82%,1.18,98
month_start_4_ma130_wr50,V2 邻域: 调仓=月初第4天｜MA=130天｜弱市比=0.50,month_start_4,130,0.5,+311.41%,+32.74%,-19.82%,1.18,98
month_start_2_ma130_wr40,V2 邻域: 调仓=月初第2天｜MA=130天｜弱市比=0.40,month_start_2,130,0.4,+254.97%,+28.88%,-19.77%,1.08,92
month_start_2_ma130_wr50,V2 邻域: 调仓=月初第2天｜MA=130天｜弱市比=0.50,month_start_2,130,0.5,+254.97%,+28.88%,-19.77%,1.08,92
month_start_2_ma110_wr40,V2 邻域: 调仓=月初第2天｜MA=110天｜弱市比=0.40,month_start_2,110,0.4,+239.90%,+27.76%,-23.51%,1.06,115
month_start_2_ma110_wr50,V2 邻域: 调仓=月初第2天｜MA=110天｜弱市比=0.50,month_start_2,110,0.5,+239.90%,+27.76%,-23.51%,1.06,115
