date,equity,cash,exposure,positions,market_bad,sleeve
2021-07-13,977341.1227940716,0.0,1.0,159995;515700,False,offensive
2021-07-14,963864.5728534402,0.0,1.0,513100;513500,True,defensive
2021-07-15,965381.8849529542,0.0,1.0,513100;513500,True,defensive
2021-07-16,959907.0562750231,0.0,1.0,513100;513500,True,defensive
2021-07-19,953107.3968211762,0.0,1.0,513100;513500,True,defensive
2021-07-20,950229.6058239501,0.0,1.0,513100;513500,True,defensive
2021-07-21,956585.6431490005,0.0,1.0,513100;513500,True,defensive
2021-07-22,963864.5728534402,0.0,1.0,513100;513500,True,defensive
2021-07-23,968558.5360981221,0.0,1.0,513100;513500,True,defensive
2021-07-26,977887.2375648406,0.0,1.0,513100;513500,True,defensive
2021-07-27,979158.8789285845,0.0,1.0,513100;513500,True,defensive
2021-07-28,973737.2396628256,0.0,1.0,513100;513500,True,defensive
2021-07-29,974216.5099134184,0.0,1.0,513100;513500,True,defensive
2021-07-30,962950.4511192387,0.0,1.0,513100;513500,True,defensive
2021-08-02,973917.6497654765,0.0,1.0,513100;513500,True,defensive
2021-08-03,970401.0202811414,0.0,1.0,513100;513500,True,defensive
2021-08-04,975245.7811171517,0.0,1.0,513100;513500,True,defensive
2021-08-05,973675.2796054657,0.0,1.0,513100;513500,True,defensive
2021-08-06,979812.5236713546,0.0,1.0,513100;513500,True,defensive
2021-08-09,978635.1899110075,0.0,1.0,513100;513500,True,defensive
2021-08-10,980338.947723646,0.0,1.0,513100;513500,True,defensive
2021-08-11,978620.3836553462,0.0,1.0,513100;513500,True,defensive
2021-08-12,977614.6893524623,0.0,1.0,513100;513500,True,defensive
2021-08-13,982619.0184249883,0.0,1.0,513100;513500,True,defensive
2021-08-16,981805.805445702,0.0,1.0,513100;513500,True,defensive
2021-08-17,984547.6051072613,0.0,1.0,513100;513500,True,defensive
2021-08-18,981258.5395272761,0.0,1.0,513100;513500,True,defensive
2021-08-19,964828.5834240544,0.0,1.0,513100;513500,True,defensive
2021-08-20,972024.7112049994,0.0,1.0,513100;513500,True,defensive
2021-08-23,986884.1657965351,0.0,1.0,513100;513500,True,defensive
2021-08-24,996715.7144146955,0.0,1.0,513100;513500,True,defensive
2021-08-25,994603.982595057,0.0,1.0,513100;513500,True,defensive
2021-08-26,994281.5455462658,0.0,1.0,513100;513500,True,defensive
2021-08-27,995032.7984681921,0.0,1.0,513100;513500,True,defensive
2021-08-30,1000643.6184817897,0.0,1.0,513100;513500,True,defensive
2021-08-31,1011445.2132810378,0.0,1.0,513100;513500,True,defensive
2021-09-01,1008922.20687864,0.0,1.0,513100;513500,True,defensive
2021-09-02,1005171.9778794821,0.0,1.0,513100;513500,True,defensive
2021-09-03,1006082.7990379243,0.0,1.0,513100;513500,True,defensive
2021-09-06,1006810.4750590014,0.0,1.0,513100;513500,True,defensive
2021-09-07,1007298.515954782,0.0,1.0,513100;513500,True,defensive
2021-09-08,1004269.9273662277,0.0,1.0,513100;513500,True,defensive
2021-09-09,999913.2074259983,0.0,1.0,513100;513500,True,defensive
2021-09-10,998434.278482995,0.0,1.0,513100;513500,True,defensive
2021-09-13,992288.2637719181,0.0,1.0,513100;513500,True,defensive
2021-09-14,989179.6082945836,0.0,1.0,513100;513500,True,defensive
2021-09-15,985038.9465788014,0.0,1.0,513100;513500,True,defensive
2021-09-16,989283.2520842133,0.0,1.0,513100;513500,True,defensive
2021-09-17,994820.0408195041,0.0,1.0,513100;513500,True,defensive
2021-09-22,972418.4444973831,0.0,1.0,513100;513500,True,defensive
2021-09-23,954997.3618774372,0.0,1.0,159930;515700,False,offensive
2021-09-24,932027.3710549488,0.0,1.0,159930;515700,False,offensive
2021-09-27,915209.2397702103,0.0,1.0,159930;515700,False,offensive
2021-09-28,930972.6948452978,0.0,1.0,159930;515700,False,offensive
2021-09-29,893938.8319545339,0.0,1.0,159930;515700,False,offensive
2021-09-30,920799.749612215,0.0,1.0,159930;515700,False,offensive
2021-10-08,934833.5392969821,0.0,1.0,513100;513500,True,defensive
2021-10-11,926742.6590783524,0.0,1.0,513100;513500,True,defensive
2021-10-12,918153.4750025752,0.0,1.0,513100;513500,True,defensive
2021-10-13,921730.667664027,0.0,1.0,513100;513500,True,defensive
2021-10-14,932068.4954766436,0.0,1.0,513100;513500,True,defensive
2021-10-15,960579.9767777976,0.0,1.0,512400;515700,False,offensive
2021-10-18,986315.657291526,0.0,1.0,512400;515700,False,offensive
2021-10-19,986471.5366054451,0.0,1.0,512400;515700,False,offensive
2021-10-20,993451.8111256124,0.0,1.0,512400;515700,False,offensive
2021-10-21,994299.796907601,0.0,1.0,512400;515700,False,offensive
2021-10-22,976791.425425393,0.0,1.0,512400;515700,False,offensive
2021-10-25,975359.3166145614,0.0,1.0,513100;513500,True,defensive
2021-10-26,984823.6507390549,0.0,1.0,513100;513500,True,defensive
2021-10-27,983695.2257961305,0.0,1.0,513100;513500,True,defensive
2021-10-28,983767.4027764862,0.0,1.0,513100;513500,True,defensive
2021-10-29,985236.1697748716,0.0,1.0,513100;513500,True,defensive
2021-11-01,999589.7675227091,0.0,1.0,513100;513500,True,defensive
2021-11-02,999488.6385656121,0.0,1.0,513100;513500,True,defensive
2021-11-03,1005282.4567158795,0.0,1.0,513100;513500,True,defensive
2021-11-04,1014904.7540954625,0.0,1.0,513100;513500,True,defensive
2021-11-05,1023317.3766888466,0.0,1.0,513100;513500,True,defensive
2021-11-08,1022112.2383341072,0.0,1.0,513100;513500,True,defensive
2021-11-09,1022513.9511190203,0.0,1.0,513100;513500,True,defensive
2021-11-10,1015357.0313589241,0.0,1.0,513100;513500,True,defensive
2021-11-11,1009862.0636484883,0.0,1.0,513100;513500,True,defensive
2021-11-12,1009313.1938593893,0.0,1.0,513100;513500,True,defensive
2021-11-15,1019067.3055607952,0.0,1.0,513100;513500,True,defensive
2021-11-16,1014553.6057890978,0.0,1.0,513100;513500,True,defensive
2021-11-17,1022086.0894008407,0.0,1.0,513100;513500,True,defensive
2021-11-18,1021466.7760193706,0.0,1.0,513100;513500,True,defensive
2021-11-19,1031815.7855569648,0.0,1.0,513100;513500,True,defensive
2021-11-22,1032553.3039658796,0.0,1.0,513100;513500,True,defensive
2021-11-23,1019510.509961338,0.0,1.0,513100;513500,True,defensive
2021-11-24,1022158.2663811962,0.0,1.0,513100;513500,True,defensive
2021-11-25,1028145.2695827385,0.0,1.0,513100;513500,True,defensive
2021-11-26,1015185.4588094561,0.0,1.0,513100;513500,True,defensive
2021-11-29,1013091.1086101565,0.0,1.0,513100;513500,True,defensive
2021-11-30,1012386.0089539526,0.0,1.0,513100;513500,True,defensive
2021-12-01,1010816.1129984701,0.0,1.0,513100;513500,True,defensive
2021-12-02,992466.9999033083,0.0,1.0,513100;513500,True,defensive
2021-12-03,995281.792441175,0.0,1.0,513100;513500,True,defensive
2021-12-06,986807.7991183387,0.0,1.0,513100;513500,True,defensive
2021-12-07,999148.2965101511,0.0,1.0,513100;513500,True,defensive
2021-12-08,1019352.5467062484,0.0,1.0,513100;513500,True,defensive
2021-12-09,1017324.1036678603,0.0,1.0,513100;513500,True,defensive
2021-12-10,1010279.1191157645,0.0,1.0,513100;513500,True,defensive
2021-12-13,1022345.1816130272,0.0,1.0,513100;513500,True,defensive
2021-12-14,1008266.0187597392,0.0,1.0,513100;513500,True,defensive
2021-12-15,1001348.3120980072,0.0,1.0,513100;513500,True,defensive
2021-12-16,1024398.0401966972,0.0,1.0,513100;513500,True,defensive
2021-12-17,1000615.3301205517,0.0,1.0,513100;513500,True,defensive
2021-12-20,985078.2065197821,0.0,1.0,513100;513500,True,defensive
2021-12-21,994217.5412711774,0.0,1.0,513100;513500,True,defensive
2021-12-22,1000819.3214227305,0.0,1.0,513100;513500,True,defensive
2021-12-23,1012916.0692847191,0.0,1.0,513100;513500,True,defensive
2021-12-24,1018755.9154820754,0.0,1.0,513100;513500,True,defensive
2021-12-27,1021963.3479419365,0.0,1.0,513100;513500,True,defensive
2021-12-28,1034624.3082753874,0.0,1.0,513100;513500,True,defensive
2021-12-29,1035401.584911947,0.0,1.0,513100;513500,True,defensive
2021-12-30,1032325.966773909,0.0,1.0,513100;513500,True,defensive
2021-12-31,1030130.4876175123,0.0,1.0,513100;513500,True,defensive
2022-01-04,1037388.5363347055,0.0,1.0,513100;513500,True,defensive
2022-01-05,1024903.684982182,0.0,1.0,513100;513500,True,defensive
2022-01-06,998530.052784171,0.0,1.0,513100;513500,True,defensive
2022-01-07,1005305.1388731764,0.0,1.0,513100;513500,True,defensive
2022-01-10,997482.877684521,0.0,1.0,513100;513500,True,defensive
2022-01-11,991388.4757064376,0.0,1.0,513100;513500,True,defensive
2022-01-12,1005869.3513446386,0.0,1.0,513100;513500,True,defensive
2022-01-13,1004624.4547622544,0.0,1.0,513100;513500,True,defensive
2022-01-14,1002305.4256190056,0.0,1.0,513100;513500,True,defensive
2022-01-17,1000386.1437042339,0.0,1.0,513100;513500,True,defensive
2022-01-18,995450.6198653495,0.0,1.0,513100;513500,True,defensive
2022-01-19,976701.6104367625,0.0,1.0,513100;513500,True,defensive
2022-01-20,975523.6037935077,0.0,1.0,513100;513500,True,defensive
2022-01-21,951520.3699314727,0.0,1.0,513100;513500,True,defensive
2022-01-24,941360.5274550093,0.0,1.0,513100;513500,True,defensive
2022-01-25,925064.3270479302,0.0,1.0,513100;513500,True,defensive
2022-01-26,921870.2427549055,0.0,1.0,513100;513500,True,defensive
2022-01-27,903225.1074087087,0.0,1.0,513100;513500,True,defensive
2022-01-28,918179.6154984054,0.0,1.0,513100;513500,True,defensive
2022-02-07,953624.5725625486,0.0,1.0,513100;513500,True,defensive
2022-02-08,949578.2605682244,0.0,1.0,513100;513500,True,defensive
2022-02-09,957272.187651183,957272.187651183,0.0,,True,defensive
2022-02-10,957272.187651183,957272.187651183,0.0,,True,defensive
2022-02-11,957272.187651183,957272.187651183,0.0,,True,defensive
2022-02-14,957272.187651183,957272.187651183,0.0,,True,defensive
2022-02-15,957272.187651183,957272.187651183,0.0,,True,defensive
2022-02-16,957272.187651183,957272.187651183,0.0,,True,defensive
2022-02-17,957272.187651183,957272.187651183,0.0,,True,defensive
2022-02-18,957272.187651183,957272.187651183,0.0,,True,defensive
2022-02-21,957272.187651183,957272.187651183,0.0,,True,defensive
2022-02-22,957272.187651183,957272.187651183,0.0,,True,defensive
2022-02-23,957272.187651183,957272.187651183,0.0,,True,defensive
2022-02-24,957272.187651183,957272.187651183,0.0,,True,defensive
2022-02-25,957272.187651183,957272.187651183,0.0,,True,defensive
2022-02-28,957272.187651183,957272.187651183,0.0,,True,defensive
2022-03-01,957272.187651183,957272.187651183,0.0,,True,defensive
2022-03-02,957272.187651183,957272.187651183,0.0,,True,defensive
2022-03-03,957272.187651183,957272.187651183,0.0,,True,defensive
2022-03-04,957272.187651183,957272.187651183,0.0,,True,defensive
2022-03-07,957272.187651183,957272.187651183,0.0,,True,defensive
2022-03-08,957272.187651183,957272.187651183,0.0,,True,defensive
2022-03-09,957272.187651183,957272.187651183,0.0,,True,defensive
2022-03-10,957272.187651183,957272.187651183,0.0,,True,defensive
2022-03-11,957272.187651183,957272.187651183,0.0,,True,defensive
2022-03-14,957272.187651183,957272.187651183,0.0,,True,defensive
2022-03-15,957272.187651183,957272.187651183,0.0,,True,defensive
2022-03-16,957272.187651183,957272.187651183,0.0,,True,defensive
2022-03-17,957272.187651183,957272.187651183,0.0,,True,defensive
2022-03-18,957272.187651183,957272.187651183,0.0,,True,defensive
2022-03-21,957272.187651183,957272.187651183,0.0,,True,defensive
2022-03-22,957272.187651183,957272.187651183,0.0,,True,defensive
2022-03-23,957272.187651183,957272.187651183,0.0,,True,defensive
2022-03-24,957272.187651183,957272.187651183,0.0,,True,defensive
2022-03-25,957272.187651183,957272.187651183,0.0,,True,defensive
2022-03-28,957272.187651183,957272.187651183,0.0,,True,defensive
2022-03-29,957272.187651183,957272.187651183,0.0,,True,defensive
2022-03-30,957272.187651183,957272.187651183,0.0,,True,defensive
2022-03-31,957272.187651183,957272.187651183,0.0,,True,defensive
2022-04-01,957272.187651183,957272.187651183,0.0,,True,defensive
2022-04-06,957272.187651183,957272.187651183,0.0,,True,defensive
2022-04-07,957272.187651183,957272.187651183,0.0,,True,defensive
2022-04-08,957272.187651183,957272.187651183,0.0,,True,defensive
2022-04-11,957272.187651183,957272.187651183,0.0,,True,defensive
2022-04-12,957272.187651183,957272.187651183,0.0,,True,defensive
2022-04-13,957272.187651183,957272.187651183,0.0,,True,defensive
2022-04-14,957272.187651183,957272.187651183,0.0,,True,defensive
2022-04-15,957272.187651183,957272.187651183,0.0,,True,defensive
2022-04-18,957272.187651183,957272.187651183,0.0,,True,defensive
2022-04-19,957272.187651183,957272.187651183,0.0,,True,defensive
2022-04-20,957272.187651183,957272.187651183,0.0,,True,defensive
2022-04-21,957272.187651183,957272.187651183,0.0,,True,defensive
2022-04-22,957272.187651183,957272.187651183,0.0,,True,defensive
2022-04-25,957272.187651183,957272.187651183,0.0,,True,defensive
2022-04-26,957272.187651183,957272.187651183,0.0,,True,defensive
2022-04-27,957272.187651183,957272.187651183,0.0,,True,defensive
2022-04-28,957272.187651183,957272.187651183,0.0,,True,defensive
2022-04-29,957272.187651183,957272.187651183,0.0,,True,defensive
2022-05-05,957272.187651183,957272.187651183,0.0,,True,defensive
2022-05-06,957272.187651183,957272.187651183,0.0,,True,defensive
2022-05-09,957272.187651183,957272.187651183,0.0,,True,defensive
2022-05-10,957272.187651183,957272.187651183,0.0,,True,defensive
2022-05-11,957272.187651183,957272.187651183,0.0,,True,defensive
2022-05-12,957272.187651183,957272.187651183,0.0,,True,defensive
2022-05-13,957272.187651183,957272.187651183,0.0,,True,defensive
2022-05-16,957272.187651183,957272.187651183,0.0,,True,defensive
2022-05-17,957272.187651183,957272.187651183,0.0,,True,defensive
2022-05-18,957272.187651183,957272.187651183,0.0,,True,defensive
2022-05-19,957272.187651183,957272.187651183,0.0,,True,defensive
2022-05-20,957272.187651183,957272.187651183,0.0,,True,defensive
2022-05-23,957272.187651183,957272.187651183,0.0,,True,defensive
2022-05-24,957272.187651183,957272.187651183,0.0,,True,defensive
2022-05-25,957272.187651183,957272.187651183,0.0,,True,defensive
2022-05-26,957272.187651183,957272.187651183,0.0,,True,defensive
2022-05-27,957272.187651183,957272.187651183,0.0,,True,defensive
2022-05-30,957272.187651183,957272.187651183,0.0,,True,defensive
2022-05-31,957272.187651183,957272.187651183,0.0,,True,defensive
2022-06-01,957272.187651183,957272.187651183,0.0,,True,defensive
