signal_date,trade_date,rebalance_day,regime_changed,market_bad,market_note,sleeve,selected,targets
2021-07-12,2021-07-13,True,False,False,"MA120|true_weak=3/6(50%)|弱:沪深300,恒生指数,恒生科技|MA↓:恒生科技|死叉:3|强:创业板,科创50,中证500|⚠高确信弱市|待确认弱市(1/2d)",offensive,新能源车;芯片,515700:50.0%;159995:50.0%
2021-07-13,2021-07-14,False,True,True,"MA120|true_weak=3/6(50%)|弱:沪深300,恒生指数,恒生科技|MA↓:恒生科技|死叉:3|强:创业板,科创50,中证500|⚠高确信弱市|确认弱市(连续2d)",defensive,标普500;纳指,513500:50.0%;513100:50.0%
2021-07-14,2021-07-15,True,False,True,"MA120|true_weak=3/6(50%)|弱:沪深300,恒生指数,恒生科技|MA↓:恒生科技|死叉:3|强:创业板,科创50,中证500|⚠高确信弱市|冷却中(1/5d)→维持弱",defensive,标普500;纳指,513500:50.0%;513100:50.0%
2021-07-15,2021-07-16,False,False,True,"MA120|true_weak=3/6(50%)|弱:沪深300,恒生指数,恒生科技|MA↓:恒生科技|死叉:3|强:创业板,科创50,中证500|⚠高确信弱市|冷却中(2/5d)→维持弱",defensive,,
2021-07-16,2021-07-19,False,False,True,"MA120|true_weak=3/6(50%)|弱:沪深300,恒生指数,恒生科技|MA↓:恒生科技|死叉:3|强:创业板,科创50,中证500|⚠高确信弱市|冷却中(3/5d)→维持弱",defensive,,
2021-07-19,2021-07-20,False,False,True,"MA120|true_weak=3/6(50%)|弱:沪深300,恒生指数,恒生科技|MA↓:恒生科技|死叉:3|强:创业板,科创50,中证500|⚠高确信弱市|冷却中(4/5d)→维持弱",defensive,,
2021-07-20,2021-07-21,False,False,True,"MA120|true_weak=3/6(50%)|弱:沪深300,恒生指数,恒生科技|MA↓:沪深300,恒生科技|死叉:3|强:创业板,科创50,中证500|⚠高确信弱市",defensive,,
2021-07-21,2021-07-22,False,False,True,"MA120|true_weak=3/6(50%)|弱:沪深300,恒生指数,恒生科技|MA↓:沪深300,恒生科技|死叉:3|强:创业板,科创50,中证500|⚠高确信弱市|确认弱市(连续2d)",defensive,,
2021-07-22,2021-07-23,False,False,True,"MA120|true_weak=3/6(50%)|弱:沪深300,恒生指数,恒生科技|MA↓:沪深300,恒生科技|死叉:3|强:创业板,科创50,中证500|⚠高确信弱市",defensive,,
2021-07-23,2021-07-26,False,False,True,"MA120|true_weak=3/6(50%)|弱:沪深300,恒生指数,恒生科技|MA↓:沪深300,恒生科技|死叉:3|强:创业板,科创50,中证500|⚠高确信弱市|确认弱市(连续2d)",defensive,,
2021-07-26,2021-07-27,False,False,True,"MA120|true_weak=3/6(50%)|弱:沪深300,恒生指数,恒生科技|MA↓:沪深300,恒生科技|死叉:3|强:创业板,科创50,中证500|⚠高确信弱市",defensive,,
2021-07-27,2021-07-28,False,False,True,"MA120|true_weak=3/6(50%)|弱:沪深300,恒生指数,恒生科技|MA↓:沪深300,恒生指数,恒生科技|死叉:3|强:创业板,科创50,中证500|⚠高确信弱市|确认弱市(连续2d)",defensive,,
2021-07-28,2021-07-29,False,False,True,"MA120|true_weak=3/6(50%)|弱:沪深300,恒生指数,恒生科技|MA↓:沪深300,恒生指数,恒生科技|死叉:3|强:创业板,科创50,中证500|⚠高确信弱市",defensive,,
2021-07-29,2021-07-30,False,False,True,"MA120|true_weak=3/6(50%)|弱:沪深300,恒生指数,恒生科技|MA↓:沪深300,恒生指数,恒生科技|死叉:3|强:创业板,科创50,中证500|⚠高确信弱市|确认弱市(连续2d)",defensive,,
2021-07-30,2021-08-02,False,False,True,"MA120|true_weak=3/6(50%)|弱:沪深300,恒生指数,恒生科技|MA↓:沪深300,恒生指数,恒生科技|死叉:3|强:创业板,科创50,中证500|⚠高确信弱市",defensive,,
2021-08-02,2021-08-03,False,False,True,"MA120|true_weak=3/6(50%)|弱:沪深300,恒生指数,恒生科技|MA↓:沪深300,恒生指数,恒生科技|死叉:3|强:创业板,科创50,中证500|⚠高确信弱市|确认弱市(连续2d)",defensive,,
2021-08-03,2021-08-04,True,False,True,"MA120|true_weak=3/6(50%)|弱:沪深300,恒生指数,恒生科技|MA↓:沪深300,恒生指数,恒生科技|死叉:3|强:创业板,科创50,中证500|⚠高确信弱市",defensive,标普500;纳指,513500:50.0%;513100:50.0%
2021-08-04,2021-08-05,False,False,True,"MA120|true_weak=3/6(50%)|弱:沪深300,恒生指数,恒生科技|MA↓:沪深300,恒生指数,恒生科技|死叉:3|强:创业板,科创50,中证500|⚠高确信弱市|确认弱市(连续2d)",defensive,,
2021-08-05,2021-08-06,False,False,True,"MA120|true_weak=3/6(50%)|弱:沪深300,恒生指数,恒生科技|MA↓:沪深300,恒生指数,恒生科技|死叉:3|强:创业板,科创50,中证500|⚠高确信弱市",defensive,,
2021-08-06,2021-08-09,False,False,True,"MA120|true_weak=3/6(50%)|弱:沪深300,恒生指数,恒生科技|MA↓:沪深300,恒生指数,恒生科技|死叉:3|强:创业板,科创50,中证500|⚠高确信弱市|确认弱市(连续2d)",defensive,,
2021-08-09,2021-08-10,False,False,True,"MA120|true_weak=3/6(50%)|弱:沪深300,恒生指数,恒生科技|MA↓:沪深300,恒生指数,恒生科技|死叉:3|强:创业板,科创50,中证500|⚠高确信弱市",defensive,,
2021-08-10,2021-08-11,False,False,True,"MA120|true_weak=3/6(50%)|弱:沪深300,恒生指数,恒生科技|MA↓:沪深300,恒生指数,恒生科技|死叉:3|强:创业板,科创50,中证500|⚠高确信弱市|确认弱市(连续2d)",defensive,,
2021-08-11,2021-08-12,False,False,True,"MA120|true_weak=3/6(50%)|弱:沪深300,恒生指数,恒生科技|MA↓:沪深300,恒生指数,恒生科技|死叉:3|强:创业板,科创50,中证500|⚠高确信弱市",defensive,,
2021-08-12,2021-08-13,False,False,True,"MA120|true_weak=3/6(50%)|弱:沪深300,恒生指数,恒生科技|MA↓:沪深300,恒生指数,恒生科技|死叉:3|强:创业板,科创50,中证500|⚠高确信弱市|确认弱市(连续2d)",defensive,,
2021-08-13,2021-08-16,False,False,True,"MA120|true_weak=3/6(50%)|弱:沪深300,恒生指数,恒生科技|MA↓:沪深300,恒生指数,恒生科技|死叉:3|强:创业板,科创50,中证500|⚠高确信弱市",defensive,,
2021-08-16,2021-08-17,False,False,True,"MA120|true_weak=3/6(50%)|弱:沪深300,恒生指数,恒生科技|MA↓:沪深300,恒生指数,恒生科技|死叉:3|强:创业板,科创50,中证500|⚠高确信弱市|确认弱市(连续2d)",defensive,,
2021-08-17,2021-08-18,False,False,True,"MA120|true_weak=3/6(50%)|弱:沪深300,恒生指数,恒生科技|MA↓:沪深300,恒生指数,恒生科技|死叉:3|强:创业板,科创50,中证500|⚠高确信弱市",defensive,,
2021-08-18,2021-08-19,False,False,True,"MA120|true_weak=3/6(50%)|弱:沪深300,恒生指数,恒生科技|MA↓:沪深300,恒生指数,恒生科技|死叉:3|强:创业板,科创50,中证500|⚠高确信弱市|确认弱市(连续2d)",defensive,,
2021-08-19,2021-08-20,False,False,True,"MA120|true_weak=3/6(50%)|弱:沪深300,恒生指数,恒生科技|MA↓:沪深300,恒生指数,恒生科技|死叉:3|强:创业板,科创50,中证500|⚠高确信弱市",defensive,,
2021-08-20,2021-08-23,False,False,True,"MA120|true_weak=3/6(50%)|弱:沪深300,恒生指数,恒生科技|MA↓:沪深300,恒生指数,恒生科技|死叉:3|强:创业板,科创50,中证500|⚠高确信弱市|确认弱市(连续2d)",defensive,,
2021-08-23,2021-08-24,False,False,True,"MA120|true_weak=3/6(50%)|弱:沪深300,恒生指数,恒生科技|MA↓:沪深300,恒生指数,恒生科技|死叉:3|强:创业板,科创50,中证500|⚠高确信弱市",defensive,,
2021-08-24,2021-08-25,False,False,True,"MA120|true_weak=3/6(50%)|弱:沪深300,恒生指数,恒生科技|MA↓:沪深300,恒生指数,恒生科技|死叉:3|强:创业板,科创50,中证500|⚠高确信弱市|确认弱市(连续2d)",defensive,,
2021-08-25,2021-08-26,False,False,True,"MA120|true_weak=3/6(50%)|弱:沪深300,恒生指数,恒生科技|MA↓:沪深300,恒生指数,恒生科技|死叉:3|强:创业板,科创50,中证500|⚠高确信弱市",defensive,,
2021-08-26,2021-08-27,False,False,True,"MA120|true_weak=3/6(50%)|弱:沪深300,恒生指数,恒生科技|MA↓:沪深300,恒生指数,恒生科技|死叉:3|强:创业板,科创50,中证500|⚠高确信弱市|确认弱市(连续2d)",defensive,,
2021-08-27,2021-08-30,False,False,True,"MA120|true_weak=3/6(50%)|弱:沪深300,恒生指数,恒生科技|MA↓:沪深300,恒生指数,恒生科技|死叉:3|强:创业板,科创50,中证500|⚠高确信弱市",defensive,,
2021-08-30,2021-08-31,False,False,True,"MA120|true_weak=3/6(50%)|弱:沪深300,恒生指数,恒生科技|MA↓:沪深300,恒生指数,恒生科技|死叉:3|强:创业板,科创50,中证500|⚠高确信弱市|确认弱市(连续2d)",defensive,,
2021-08-31,2021-09-01,False,False,True,"MA120|true_weak=3/6(50%)|弱:沪深300,恒生指数,恒生科技|MA↓:沪深300,恒生指数,恒生科技|死叉:3|强:创业板,科创50,中证500|⚠高确信弱市",defensive,,
2021-09-01,2021-09-02,False,False,True,"MA120|true_weak=3/6(50%)|弱:沪深300,恒生指数,恒生科技|MA↓:沪深300,恒生指数,恒生科技|死叉:3|强:创业板,科创50,中证500|⚠高确信弱市|确认弱市(连续2d)",defensive,,
2021-09-02,2021-09-03,True,False,True,"MA120|true_weak=3/6(50%)|弱:沪深300,恒生指数,恒生科技|MA↓:沪深300,恒生指数,恒生科技|死叉:3|假弱(忽略):创业板,科创50|强:中证500|⚠高确信弱市",defensive,纳指;标普500,513100:50.0%;513500:50.0%
2021-09-03,2021-09-06,False,False,True,"MA120|true_weak=3/6(50%)|弱:沪深300,恒生指数,恒生科技|MA↓:沪深300,恒生指数,恒生科技|死叉:3|假弱(忽略):创业板,科创50|强:中证500|⚠高确信弱市|确认弱市(连续2d)",defensive,,
2021-09-06,2021-09-07,False,False,True,"MA120|true_weak=3/6(50%)|弱:沪深300,恒生指数,恒生科技|MA↓:沪深300,恒生指数,恒生科技|死叉:3|强:创业板,科创50,中证500|⚠高确信弱市",defensive,,
2021-09-07,2021-09-08,False,False,True,"MA120|true_weak=3/6(50%)|弱:沪深300,恒生指数,恒生科技|MA↓:沪深300,恒生指数,恒生科技|死叉:3|强:创业板,科创50,中证500|⚠高确信弱市|确认弱市(连续2d)",defensive,,
2021-09-08,2021-09-09,False,False,True,"MA120|true_weak=3/6(50%)|弱:沪深300,恒生指数,恒生科技|MA↓:沪深300,恒生指数,恒生科技|死叉:3|假弱(忽略):科创50|强:创业板,中证500|⚠高确信弱市",defensive,,
2021-09-09,2021-09-10,False,False,True,"MA120|true_weak=3/6(50%)|弱:沪深300,恒生指数,恒生科技|MA↓:沪深300,恒生指数,恒生科技|死叉:3|假弱(忽略):科创50|强:创业板,中证500|⚠高确信弱市|确认弱市(连续2d)",defensive,,
2021-09-10,2021-09-13,False,False,True,"MA120|true_weak=3/6(50%)|弱:沪深300,恒生指数,恒生科技|MA↓:沪深300,恒生指数,恒生科技|死叉:3|假弱(忽略):科创50|强:创业板,中证500|⚠高确信弱市",defensive,,
2021-09-13,2021-09-14,False,False,True,"MA120|true_weak=3/6(50%)|弱:沪深300,恒生指数,恒生科技|MA↓:沪深300,恒生指数,恒生科技|死叉:3|假弱(忽略):科创50|强:创业板,中证500|⚠高确信弱市|确认弱市(连续2d)",defensive,,
2021-09-14,2021-09-15,False,False,True,"MA120|true_weak=3/6(50%)|弱:沪深300,恒生指数,恒生科技|MA↓:沪深300,恒生指数,恒生科技|死叉:3|假弱(忽略):科创50|强:创业板,中证500|⚠高确信弱市",defensive,,
2021-09-15,2021-09-16,False,False,True,"MA120|true_weak=3/6(50%)|弱:沪深300,恒生指数,恒生科技|MA↓:沪深300,恒生指数,恒生科技|死叉:3|假弱(忽略):科创50|强:创业板,中证500|⚠高确信弱市|确认弱市(连续2d)",defensive,,
2021-09-16,2021-09-17,False,False,True,"MA120|true_weak=3/6(50%)|弱:沪深300,恒生指数,恒生科技|MA↓:沪深300,恒生指数,恒生科技|死叉:3|假弱(忽略):创业板,科创50|强:中证500|⚠高确信弱市",defensive,,
2021-09-17,2021-09-22,False,False,True,"MA120|true_weak=3/6(50%)|弱:沪深300,恒生指数,恒生科技|MA↓:沪深300,恒生指数,恒生科技|死叉:3|假弱(忽略):创业板,科创50|强:中证500|⚠高确信弱市|确认弱市(连续2d)",defensive,,
2021-09-22,2021-09-23,False,True,False,"MA120|true_weak=1/4(25%)|弱:沪深300|MA↓:沪深300|死叉:1|假弱(忽略):创业板,科创50|强:中证500|确认强市(连续1d)",offensive,新能源车;能源,515700:50.0%;159930:50.0%
