date,code,side,price,shares,value,fee,signal_date,reason
2021-07-13,515700,BUY,3.1780,157166.6302,500000.00,525.00,2021-07-12,rebalance
2021-07-13,159995,BUY,0.7999,624385.4208,500000.00,525.00,2021-07-12,rebalance
2021-07-14,515700,SELL,3.1250,157166.6302,491145.72,515.70,2021-07-13,regime_switch
2021-07-14,159995,SELL,0.7603,624385.4208,474700.58,498.44,2021-07-13,regime_switch
2021-07-14,513500,BUY,1.3639,353707.2622,482923.15,507.07,2021-07-13,regime_switch
2021-07-14,513100,BUY,0.9594,501764.0259,481909.01,506.00,2021-07-13,regime_switch
2021-09-23,513500,SELL,1.3792,353707.2622,487828.92,512.22,2021-09-22,regime_switch
2021-09-23,513100,SELL,0.9826,501764.0259,493018.91,517.67,2021-09-22,regime_switch
2021-09-23,515700,BUY,3.1500,155526.8287,490423.92,514.95,2021-09-22,regime_switch
2021-09-23,159930,BUY,1.1190,436890.7062,489394.03,513.86,2021-09-22,regime_switch
2021-10-08,515700,SELL,3.0990,155526.8287,481977.64,506.08,2021-09-30,regime_switch
2021-10-08,159930,SELL,1.0520,436890.7062,459609.02,482.59,2021-09-30,regime_switch
2021-10-08,513500,BUY,1.3756,341882.3734,470793.33,494.33,2021-09-30,regime_switch
2021-10-08,513100,BUY,0.9645,486595.7863,469804.67,493.29,2021-09-30,regime_switch
2021-10-15,513500,SELL,1.3817,341882.3734,472392.06,496.01,2021-10-14,regime_switch
2021-10-15,513100,SELL,0.9674,486595.7863,470731.75,494.27,2021-10-14,regime_switch
2021-10-15,515700,BUY,3.0220,155879.3139,471561.91,495.14,2021-10-14,regime_switch
2021-10-15,512400,BUY,1.4010,335530.3679,470571.63,494.10,2021-10-14,regime_switch
2021-10-25,515700,SELL,3.2230,155879.3139,502399.03,527.52,2021-10-22,regime_switch
2021-10-25,512400,SELL,1.4050,335530.3679,471420.17,494.99,2021-10-22,regime_switch
2021-10-25,513500,BUY,1.3950,348673.0315,486909.60,511.26,2021-10-22,regime_switch
2021-10-25,513100,BUY,0.9775,496542.9635,485887.09,510.18,2021-10-22,regime_switch
2022-02-09,513500,SELL,1.3812,348673.0315,481597.14,505.68,2022-02-08,rebalance
2022-02-09,513100,SELL,0.9600,496542.9635,476681.24,500.52,2022-02-08,rebalance
2022-06-28,159930,BUY,1.1220,426144.4323,478636.09,502.57,2022-06-27,regime_switch
2022-06-28,515790,BUY,1.6680,286651.1110,478636.09,502.57,2022-06-27,regime_switch
2022-07-13,159930,SELL,1.0830,426144.4323,461514.42,484.59,2022-07-12,regime_switch
2022-07-13,515790,SELL,1.6700,286651.1110,478707.36,502.64,2022-07-12,regime_switch
2022-08-18,159930,BUY,1.1710,400618.8646,469617.27,493.10,2022-08-17,regime_switch
2022-08-18,515790,BUY,1.8210,257619.2698,469617.27,493.10,2022-08-17,regime_switch
2022-08-26,159930,SELL,1.2810,400618.8646,513192.77,538.85,2022-08-25,regime_switch
2022-08-26,515790,SELL,1.7450,257619.2698,449545.63,472.02,2022-08-25,regime_switch
2023-03-03,515230,BUY,0.9480,506708.2075,480863.76,504.91,2023-03-02,rebalance
