date,equity,cash,exposure,positions,market_bad,sleeve
2021-07-13,979354.0181877417,0.0,1.0,159995;512400;515700,False,offensive
2021-07-14,965764.1735896193,0.0,1.0,513100;513500,True,defensive
2021-07-15,967284.4760336926,0.0,1.0,513100;513500,True,defensive
2021-07-16,961798.8574700453,0.0,1.0,513100;513500,True,defensive
2021-07-19,954985.7971313975,0.0,1.0,513100;513500,True,defensive
2021-07-20,952102.3345346017,0.0,1.0,513100;513500,True,defensive
2021-07-21,958470.8984463965,0.0,1.0,513100;513500,True,defensive
2021-07-22,965764.1735896193,0.0,1.0,513100;513500,True,defensive
2021-07-23,970467.3877771064,0.0,1.0,513100;513500,True,defensive
2021-07-26,979814.4744077502,0.0,1.0,513100;513500,True,defensive
2021-07-27,981088.6219439779,0.0,1.0,513100;513500,True,defensive
2021-07-28,975656.2976191032,0.0,1.0,513100;513500,True,defensive
2021-07-29,976136.5124236785,0.0,1.0,513100;513500,True,defensive
2021-07-30,964848.2502887165,0.0,1.0,513100;513500,True,defensive
2021-08-02,975837.0632770609,0.0,1.0,513100;513500,True,defensive
2021-08-03,972313.5031593719,0.0,1.0,513100;513500,True,defensive
2021-08-04,977167.8121326516,0.0,1.0,513100;513500,True,defensive
2021-08-05,975594.2154498058,0.0,1.0,513100;513500,True,defensive
2021-08-06,981743.5549009533,0.0,1.0,513100;513500,True,defensive
2021-08-09,980563.9008311551,0.0,1.0,513100;513500,True,defensive
2021-08-10,982271.0164387434,0.0,1.0,513100;513500,True,defensive
2021-08-11,980549.0653950728,0.0,1.0,513100;513500,True,defensive
2021-08-12,979541.3890527072,0.0,1.0,513100;513500,True,defensive
2021-08-13,984555.5807423042,0.0,1.0,513100;513500,True,defensive
2021-08-16,983740.7650690114,0.0,1.0,513100;513500,True,defensive
2021-08-17,986487.9683160975,0.0,1.0,513100;513500,True,defensive
2021-08-18,983192.4205895812,0.0,1.0,513100;513500,True,defensive
2021-08-19,966730.0840487047,0.0,1.0,513100;513500,True,defensive
2021-08-20,973940.3940809902,0.0,1.0,513100;513500,True,defensive
2021-08-23,988829.133939021,0.0,1.0,513100;513500,True,defensive
2021-08-24,998680.0587408475,0.0,1.0,513100;513500,True,defensive
