date,code,side,price,shares,value,fee,signal_date,reason
2021-07-13,515700,BUY,3.1780,141449.9672,450000.00,472.50,2021-07-12,rebalance
2021-07-13,159995,BUY,0.7999,561946.8787,450000.00,472.50,2021-07-12,rebalance
2021-07-13,512400,BUY,1.3490,74051.2306,100000.00,105.00,2021-07-12,rebalance
2021-07-14,515700,SELL,3.1250,141449.9672,442031.15,464.13,2021-07-13,regime_switch
2021-07-14,159995,SELL,0.7603,561946.8787,427230.53,448.59,2021-07-13,regime_switch
2021-07-14,512400,SELL,1.3300,74051.2306,98488.14,103.41,2021-07-13,regime_switch
2021-07-14,513500,BUY,1.3639,354404.3545,483874.91,508.07,2021-07-13,regime_switch
2021-07-14,513100,BUY,0.9594,502752.9110,482858.77,507.00,2021-07-13,regime_switch
2021-09-23,513500,SELL,1.3792,354404.3545,488790.34,513.23,2021-09-22,regime_switch
2021-09-23,513100,SELL,0.9826,502752.9110,493990.56,518.69,2021-09-22,regime_switch
2021-09-23,515700,BUY,3.1500,140250.0092,442251.41,464.36,2021-09-22,regime_switch
2021-09-23,159930,BUY,1.1190,394805.6560,442251.41,464.36,2021-09-22,regime_switch
2021-09-23,512400,BUY,1.5600,62271.9031,97246.17,102.11,2021-09-22,regime_switch
2021-10-08,515700,SELL,3.0990,140250.0092,434634.78,456.37,2021-09-30,regime_switch
2021-10-08,159930,SELL,1.0520,394805.6560,415335.55,436.10,2021-09-30,regime_switch
2021-10-08,512400,SELL,1.4070,62271.9031,87616.57,92.00,2021-09-30,regime_switch
2021-10-08,513500,BUY,1.3756,340430.0903,468793.45,492.23,2021-09-30,regime_switch
2021-10-08,513100,BUY,0.9645,484528.7747,467808.98,491.20,2021-09-30,regime_switch
2021-10-15,513500,SELL,1.3817,340430.0903,470385.39,493.90,2021-10-14,regime_switch
2021-10-15,513100,SELL,0.9674,484528.7747,468732.13,492.17,2021-10-14,regime_switch
